"PointID","x","y","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
87, 7.743050000000000e-01, -1.671250000000000e-02, 1.059739395545704e-03, -1.077519400987497e-02, 1.082150149273348e-02
88, 7.947460000000000e-01, -1.536480000000000e-02, 1.152218273497608e-03, -1.069936441031428e-02, 1.075207458873280e-02
89, 8.151990000000000e-01, -1.400830000000000e-02, -1.311294959157255e-03, 1.498366275780364e-02, -1.503765720013809e-02
90, 8.356650000000000e-01, -1.264280000000000e-02, 1.305859359919795e-03, -7.093526204036351e-03, 7.164904356662589e-03
91, 8.561440000000000e-01, -1.126750000000000e-02, 2.567753232089600e-03, -2.457142276731577e-02, 2.468846380527159e-02
92, 8.766380000000000e-01, -9.881770000000000e-03, -5.475526206687472e-04, 1.200647782372185e-02, -1.201599370464113e-02
93, 8.971450000000000e-01, -8.484230000000001e-03, 6.925738577662080e-04, -2.125995500599927e-03, 2.168326471922893e-03
94, 9.176680000000000e-01, -7.073410000000000e-03, 2.627165693339055e-03, -2.099097890982971e-02, 2.112213148299239e-02
95, 9.382060000000000e-01, -5.647530000000000e-03, 1.741485050048122e-03, -5.210344940781484e-03, 5.318984486953193e-03
96, 9.587590000000000e-01, -4.204500000000000e-03, -1.280267821200042e-03, 2.191327481044372e-02, -2.194901389525866e-02
97, 9.793290000000000e-01, -2.741940000000000e-03, -1.223447446466634e-02, 4.149185590088658e-02, -4.225975965150691e-02
98, 9.999160000000000e-01, -1.257210000000000e-03, -4.158375504485575e-03, -1.815507614116608e-01, 1.774834204388547e-01
