"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
10, 7.959918448004990e-01, 5.687976776718806e-02, 1.199623124276657e+00, 2.807600254344463e+02, -3.450135822663599e+01, 2.719371679860941e+05, 9.543458823813099e+04, 2.763532443384005e+02, 7.065624249190734e-01, -1.476415090368555e-01
11, 7.755347517810964e-01, 5.934642852009723e-02, 1.190124578536472e+00, 2.826351046900448e+02, -3.340414541913824e+01, 2.700533493657408e+05, 9.440958165052763e+04, 2.755670207968579e+02, 7.175795590380939e-01, -1.733330099852477e-01
12, 7.550697231632862e-01, 6.171458797019944e-02, 1.181020862200598e+00, 2.843315524730245e+02, -3.222677528501485e+01, 2.682439254276147e+05, 9.343109255024949e+04, 2.748131120909172e+02, 7.280452088400303e-01, -1.978585632371210e-01
13, 7.345967508452746e-01, 6.398431864391228e-02, 1.172745981081263e+00, 2.861110531726280e+02, -3.105502404066037e+01, 2.666183672731713e+05, 9.252255763659868e+04, 2.740610192176279e+02, 7.383939984726098e-01, -2.206307345363162e-01
14, 7.141156510116445e-01, 6.615508697188743e-02, 1.165137479699108e+00, 2.875175735945909e+02, -2.979405924905279e+01, 2.651094630897579e+05, 9.170143636324746e+04, 2.734025480540271e+02, 7.473827267475673e-01, -2.412119076021143e-01
15, 6.936284736762975e-01, 6.822572832729279e-02, 1.157492872731657e+00, 2.884718038115931e+02, -2.847143230612895e+01, 2.635632511623212e+05, 9.090657537704504e+04, 2.728227385899383e+02, 7.552445093419110e-01, -2.611348739789525e-01
16, 6.731330975550006e-01, 7.019518679494018e-02, 1.152183393745966e+00, 2.902108628806787e+02, -2.711860952923181e+01, 2.625650805703426e+05, 9.027876814189929e+04, 2.721871418086104e+02, 7.638074688937988e-01, -2.768706852139491e-01
17, 6.526325692925304e-01, 7.206144131399822e-02, 1.145901064047250e+00, 2.910897346815541e+02, -2.574107344593178e+01, 2.613032297860350e+05, 8.961671783233507e+04, 2.716723900852968e+02, 7.707015852922693e-01, -2.934647894487546e-01
18, 6.321256009521898e-01, 7.382285904162376e-02, 1.140296904483932e+00, 2.928282087041288e+02, -2.434155176588005e+01, 2.602480744092691e+05, 8.895565257504284e+04, 2.709937013849691e+02, 7.797375463416484e-01, -3.100342036262608e-01
19, 6.116128262160907e-01, 7.547729340931804e-02, 1.133527934145242e+00, 2.936704469650093e+02, -2.293734565112313e+01, 2.588858932023702e+05, 8.824490603013671e+04, 2.704338244962215e+02, 7.871472344478917e-01, -3.278488652619655e-01
20, 5.910942682729440e-01, 7.702103569153979e-02, 1.130121631371061e+00, 2.941522940301181e+02, -2.133057681493391e+01, 2.582005616315074e+05, 8.788709117458711e+04, 2.701490814545191e+02, 7.909006939508088e-01, -3.368173936713251e-01
21, 5.705718153445112e-01, 7.845199398633662e-02, 1.119287295536186e+00, 2.953855239111858e+02, -1.924466701157945e+01, 2.560190490887630e+05, 8.675069843321506e+04, 2.692371581635555e+02, 8.028560368357889e-01, -3.653007571402081e-01
22, 5.500453210736597e-01, 7.976616057444652e-02, 1.058672482340396e+00, 2.977067750495867e+02, -1.637887880676638e+01, 2.435723365185801e+05, 8.063477152786145e+04, 2.645844564982077e+02, 8.624600504637627e-01, -5.185947396272669e-01
23, 5.295152105339763e-01, 8.095981614310813e-02, 8.897248398824520e-01, 2.989838485297523e+02, -1.710698376269008e+01, 2.090204659284607e+05, 6.344824780274376e+04, 2.477236723966501e+02, 1.065260368473904e+00, -9.493701082186422e-01
24, 5.089816672476042e-01, 8.202765175101349e-02, 7.852452178937767e-01, 2.955880386974496e+02, -1.488179688926617e+01, 1.877020445746284e+05, 5.277090635159834e+04, 2.334494447401034e+02, 1.228775747931221e+00, -1.216994659451829e+00
25, 4.884461183630520e-01, 8.296450563547406e-02, 7.668879054419195e-01, 2.946478764559129e+02, -1.250487048894374e+01, 1.839524973127987e+05, 5.089874190456949e+04, 2.305572329935059e+02, 1.261567795570866e+00, -1.263919933150655e+00
26, 4.679096526951258e-01, 8.376500715451808e-02, 7.718547604507053e-01, 2.941308118100426e+02, -1.046724790733448e+01, 1.848696916393109e+05, 5.150259234233687e+04, 2.317912804672163e+02, 1.247581698111039e+00, -1.248784592283372e+00
27, 4.473724129148732e-01, 8.442379705420539e-02, 7.809463282630459e-01, 2.949882221955561e+02, -8.493576856526682e+00, 1.867573166638939e+05, 5.239916802554563e+04, 2.330809590121711e+02, 1.232956677311963e+00, -1.226312175721327e+00
28, 4.268360487608732e-01, 8.493322393530407e-02, 7.869822104069853e-01, 2.958975457898669e+02, -6.317162697804335e+00, 1.880471145906239e+05, 5.295779266613600e+04, 2.337591136459896e+02, 1.225261818607170e+00, -1.212310406701403e+00
