"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
272, 8.721626775312498e-03, -1.018962740264695e+00, 1.299910431439785e+00, 3.191992969214826e+02, 6.391660653602929e+00, 2.955509816014350e+05, 1.025379206769968e+05, 2.740152096244162e+02, 7.390707098423697e-01, 3.040151458562743e-02
273, 8.173646945255876e-02, -7.854237230006789e-01, 1.295208190773246e+00, 3.200123628222289e+02, 4.723990741943360e+00, 2.946179660317060e+05, 1.020303889005473e+05, 2.736488025252939e+02, 7.440729058208333e-01, 1.768037379132418e-02
274, 3.074889728573209e-01, 1.085731019104551e+00, 1.211451317769179e+00, 3.337944175816602e+02, 1.431748577116042e+01, 2.781503907292914e+05, 9.283206067281273e+04, 2.661923783141932e+02, 8.420002440204871e-01, -2.128731282491061e-01
275, 2.665864596154532e-01, 8.356293217471789e-01, 1.184610643253228e+00, 3.358441081262872e+02, 1.890271827287645e+01, 2.727638857516426e+05, 9.000247121328721e+04, 2.639261338620315e+02, 8.706537994642205e-01, -2.837959897820617e-01
276, 9.440709457848780e-02, 7.355169905781158e-01, 1.213031013680025e+00, 3.316873365143033e+02, 2.985834658074561e+01, 2.783977829486415e+05, 9.307301681197423e+04, 2.665357562421203e+02, 8.376634976356419e-01, -2.068336305984002e-01
277, 6.273343278346218e-02, 6.744772727264696e-02, 1.107944280195677e+00, 2.995818815168628e+02, 9.324709294955035e+01, 2.550475897082718e+05, 8.424840863491692e+04, 2.641480315749063e+02, 8.679436094851172e-01, -4.280199450006919e-01
278, 1.037701913375155e-01, 7.658444444989866e-02, 1.041340882782996e+00, 3.074861389978327e+02, 7.206919309107259e+01, 2.414684541042630e+05, 7.743098513069296e+04, 2.583006255099422e+02, 9.399840856492671e-01, -5.988967418356186e-01
279, 2.553427739112349e-01, 6.365826461076943e-01, 1.152919385154844e+00, 3.379197166064541e+02, 2.465360953306613e+01, 2.664129321398303e+05, 8.665093829408074e+04, 2.610825949286905e+02, 9.059748849741239e-01, -3.678012168837633e-01
280, 1.260951405246327e-01, 5.472664035981375e-01, 1.186479666362248e+00, 3.332766292379671e+02, 3.613389458996308e+01, 2.730609642035794e+05, 9.028112468497247e+04, 2.643262247223923e+02, 8.656650332481886e-01, -2.768116191266363e-01
281, 2.599964102505418e-01, 4.890149528371699e-01, 1.112789092846363e+00, 3.394570127810543e+02, 2.817594041839381e+01, 2.583065351330455e+05, 8.246961542291680e+04, 2.574451421467870e+02, 9.502945903600847e-01, -4.726048950349631e-01
282, 3.824255731345931e-01, 5.493829880359044e-01, 1.091438876492447e+00, 3.414414790243075e+02, 1.232192744494986e+01, 2.540201777039820e+05, 8.021720513233996e+04, 2.553122774686300e+02, 9.758912051770620e-01, -5.290609235292071e-01
283, 3.713461551911361e-01, 4.179420486500132e-01, 1.031901996290330e+00, 3.407961082192692e+02, 1.293024686504537e+01, 2.418207181751705e+05, 7.418560800798314e+04, 2.497380980981419e+02, 1.041750985762472e+00, -6.802412038462901e-01
284, 4.848350904357502e-01, 4.751006585807345e-01, 1.059419873762795e+00, 3.407418138758053e+02, -3.813231502163742e+00, 2.473957873151911e+05, 7.703697338177721e+04, 2.526007807165886e+02, 1.008103082424925e+00, -6.087725351655088e-01
285, 7.256537869541505e-01, 8.581726140775922e-02, 1.180841556080334e+00, 2.990625983051303e+02, -3.033616522738981e+01, 2.692315042608854e+05, 9.238847895216127e+04, 2.717876890247259e+02, 7.691593008460504e-01, -2.239913789361119e-01
286, 6.645732329318261e-01, 8.966356229465516e-02, 1.160493122794551e+00, 3.013090300064807e+02, -2.654665504375357e+01, 2.651116156548546e+05, 9.027689121706237e+04, 2.702325232093385e+02, 7.898008902612341e-01, -2.769177298054776e-01
287, 7.674467168921538e-01, 7.903943728983726e-02, 1.196423381481883e+00, 2.945276797784213e+02, -3.243240813472866e+01, 2.721918415407304e+05, 9.419992293778791e+04, 2.735075050827152e+02, 7.459532338352206e-01, -1.785880464721698e-01
288, 1.543714121694071e-01, 4.029664224805282e-01, 1.154290676007137e+00, 3.369469331571492e+02, 4.298093598127684e+01, 2.667698311080071e+05, 8.671633084403654e+04, 2.609692264555553e+02, 9.073907165379983e-01, -3.661621710673503e-01
289, 4.862261303275817e-01, 3.531529079578475e-01, 9.932709810097667e-01, 3.378875952810051e+02, -1.097928511001850e+01, 2.337065620431050e+05, 7.047005847202956e+04, 2.464566134485447e+02, 1.079943898708560e+00, -7.733704047521561e-01
290, 5.849908498581584e-01, 4.105724943989033e-01, 1.103396625438753e+00, 3.335658777726909e+02, -1.978974855936420e+01, 2.558139389107994e+05, 8.208664671715038e+04, 2.584309092994713e+02, 9.383794506163445e-01, -4.822038976037252e-01
291, 5.958824367780825e-01, 5.403356329014253e-01, 1.143540902234090e+00, 3.376103757862660e+02, -1.404406126201227e+01, 2.644015634679148e+05, 8.579142248900809e+04, 2.606128093993098e+02, 9.117576475905901e-01, -3.893447380554799e-01
292, 6.930735308206787e-01, 4.574539966165290e-01, 1.209011534128719e+00, 3.314171756916174e+02, -1.852064794730573e+01, 2.774783948623061e+05, 9.276483890295174e+04, 2.665364093421717e+02, 8.376858004225699e-01, -2.145580229463922e-01
293, 6.661040935103273e-01, 3.432850934814005e-01, 1.201908668755252e+00, 3.291375212250176e+02, -1.944938825839872e+01, 2.758276919637647e+05, 9.224155144838363e+04, 2.665991273969515e+02, 8.368955729304385e-01, -2.276740753678238e-01
