CFL,Total_Iter,CL,CD
198.5,2546,0.4506039793,0.01664996625
200.0,2544,0.4506039793,0.01664996625
201.5,2544,0.4506039793,0.01664996625
203.0,2544,0.4506039793,0.01664996625
204.5,2543,0.4506039793,0.01664996625
206.0,2541,0.4506039793,0.01664996625
207.5,2541,0.4506039793,0.01664996625
209.0,2539,0.4506039793,0.01664996625
210.5,2538,0.4506039793,0.01664996625
212.0,2538,0.4506039793,0.01664996625
213.5,2537,0.4506039793,0.01664996625
215.0,2536,0.4506039793,0.01664996625
216.5,2534,0.4506039793,0.01664996625
218.0,2533,0.4506039793,0.01664996625
219.5,2531,0.4506039793,0.01664996625
221.0,2531,0.4506039793,0.01664996625
222.5,2530,0.4506039793,0.01664996625
224.0,2530,0.4506039793,0.01664996625
225.5,2530,0.4506039793,0.01664996625
227.0,2530,0.4506039793,0.01664996625
228.5,2530,0.4506039793,0.01664996625
230.0,2530,0.4506039793,0.01664996625
231.5,2529,0.4506039793,0.01664996625
233.0,2526,0.4506039793,0.01664996625
234.5,2525,0.4506039793,0.01664996625
236.0,2524,0.4506039793,0.01664996625
237.5,2523,0.4506039793,0.01664996625
239.0,2521,0.4506039793,0.01664996625
240.5,2521,0.4506039793,0.01664996625
242.0,2521,0.4506039793,0.01664996625
243.5,2520,0.4506039793,0.01664996625
245.0,2519,0.4506039793,0.01664996625
246.5,2519,0.4506039793,0.01664996625
248.0,2517,0.4506039793,0.01664996625
249.5,2517,0.4506039793,0.01664996625
251.0,2517,0.4506039793,0.01664996625
252.5,2516,0.4506039793,0.01664996625
254.0,2516,0.4506039793,0.01664996625
255.5,2516,0.4506039793,0.01664996625
257.0,2515,0.4506039793,0.01664996625
258.5,2514,0.4506039793,0.01664996625
260.0,2514,0.4506039793,0.01664996625
261.5,2512,0.4506039793,0.01664996625
263.0,2511,0.4506039793,0.01664996625
264.5,2511,0.4506039793,0.01664996625
266.0,2511,0.4506039793,0.01664996625
267.5,2511,0.4506039793,0.01664996625
269.0,2511,0.4506039793,0.01664996625
270.5,2510,0.4506039793,0.01664996625
272.0,2508,0.4506039793,0.01664996625
273.5,2508,0.4506039793,0.01664996625
275.0,2506,0.4506039793,0.01664996625
276.5,2507,0.4506039793,0.01664996625
278.0,2505,0.4506039793,0.01664996625
279.5,2505,0.4506039793,0.01664996625
281.0,2504,0.4506039793,0.01664996625
282.5,2504,0.4506039793,0.01664996625
284.0,2504,0.4506039793,0.01664996625
285.5,2504,0.4506039793,0.01664996625
287.0,2504,0.4506039793,0.01664996625
288.5,2504,0.4506039793,0.01664996625
290.0,2504,0.4506039793,0.01664996625
