"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          20,      -2.622377983,    -0.00243169361,     -0.0130305218,    0.008302806789,       2.857225765,    0.004640655285,      0.3060826596,    0.007117960488,      0.2748036994,     -0.0503188677,    0.006455861171,   -0.006044302446,    0.007117960488,      0.3060581588,       65.95677567
          0,           0,          21,      -2.700649499,    -0.06490294895,    -0.09613572601,    -0.06481806822,       2.786060053,    0.005174339159,      0.3070584932,    0.007152734134,      0.2752056115,    -0.05084646942,    0.006188435575,   -0.005544999778,    0.007152734134,      0.3070520233,       59.34255249
          0,           0,          22,      -2.778234176,     -0.1262393784,     -0.1747553034,      -0.133466186,       2.720124121,     0.00517222993,      0.3082293597,    0.007179197114,      0.2757530802,    -0.05119562389,    0.006207984215,   -0.005587970377,    0.007179197114,       0.308222103,        59.5931279
          0,           0,          23,      -2.845666027,     -0.1893879911,     -0.2386021901,     -0.2007785756,       2.657325768,    0.004760649012,      0.3093547258,    0.007191429184,      0.2763853962,    -0.05130458806,     0.00645752263,    -0.00603857528,    0.007191429184,      0.3093324195,       64.98162856
          0,           0,          24,      -2.906822819,     -0.2546541749,     -0.3003901826,     -0.2733612804,           2.59019,     0.00416937847,      0.3102020549,    0.007189256725,      0.2769709411,    -0.05117750715,    0.006812010677,   -0.006659056996,    0.007189256725,      0.3101585974,       74.40007118
          0,           0,          25,      -2.971616788,     -0.3202626445,     -0.3743628493,      -0.352316538,        2.51793365,    0.003631886873,      0.3106263033,    0.007177199603,      0.2773725249,    -0.05088365091,    0.007135012008,   -0.007211027223,    0.007177199603,      0.3105638292,        85.5275272
          0,           0,          26,      -3.043676474,     -0.3844613308,     -0.4566258928,     -0.4302317767,       2.446227078,    0.003307179662,      0.3106144558,    0.007161935603,      0.2775114927,    -0.05053363055,    0.007329252267,   -0.007535123158,    0.007161935603,      0.3105406568,       93.92125241
          0,           0,          27,      -3.117408821,     -0.4475689351,     -0.5306089152,     -0.4995939488,       2.378261409,    0.003245127422,      0.3102785293,    0.007149537737,      0.2773992705,    -0.05024073004,    0.007362542038,    -0.00758541393,    0.007149537737,      0.3102027693,       95.61366593
          0,           0,          28,      -3.184519479,     -0.5118118108,     -0.5910416497,     -0.5633799458,        2.31162095,    0.003397153355,      0.3098047445,    0.007143554882,      0.2771260606,    -0.05008365108,     0.00726436875,   -0.007416945757,    0.007143554882,      0.3097345787,        91.1953957
          0,           0,          29,      -3.244765446,      -0.579000417,      -0.652652089,     -0.6310013572,       2.243923941,    0.003657401709,      0.3093833301,    0.007144437205,      0.2768183992,    -0.05008496667,    0.007101126489,    -0.00714214879,    0.007144437205,      0.3093225036,       84.59101699
