"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
247, 3.068066830571347e-01, 2.438641590664663e+00, 1.263276774827751e+00, 3.253725697283004e+02, 9.867517877891801e+00, 2.882902776681964e+05, 9.853994939754203e+04, 2.709676315786687e+02, 7.797602965601131e-01, -6.980650764564356e-02
248, 3.179876076259851e+00, 6.782544965815577e-01, 1.287579725273318e+00, 3.193613375209887e+02, 5.993406377095570e+00, 2.929634395577690e+05, 1.013374119540682e+05, 2.734004791737526e+02, 7.473478959843086e-01, 3.111021271195386e-04
249, 2.779786926741950e+00, 2.354684069654559e+00, 1.283039628532242e+00, 3.217995782390166e+02, 6.227871220328245e+00, 2.921663363185902e+05, 1.007183575528473e+05, 2.726918490581805e+02, 7.567081596537850e-01, -1.520532179485701e-02
250, -2.092057948509161e+00, -1.356792254736999e+00, 1.295956495828753e+00, 3.193992968987480e+02, 1.129785742733901e+01, 2.947440395921961e+05, 1.021341927944184e+05, 2.737690381758301e+02, 7.424388157478038e-01, 2.028218910655259e-02
251, 1.357196559086826e+00, 7.764009992557692e-01, 1.284729934718383e+00, 3.217595662808525e+02, -1.355668803318770e+00, 2.925313593381454e+05, 1.008953733427366e+05, 2.728117053812325e+02, 7.553178654829429e-01, -1.076847096011960e-02
252, 9.566325559976970e-01, 5.286712007429304e-02, 1.300820246852027e+00, 2.652911032442750e+02, -3.785376215977021e+01, 2.924309329384462e+05, 1.059312970629797e+05, 2.828854394504511e+02, 6.101189879639473e-01, 1.154555363774035e-01
253, -1.998985888874141e-01, -2.343563100211784e+00, 1.298122662214762e+00, 3.189595097541426e+02, 9.019000959422828e+00, 2.951550992455198e+05, 1.023753077422004e+05, 2.739574282828975e+02, 7.397579004733790e-01, 2.632566725052903e-02
254, 2.533912506328202e-01, -2.691726290311652e+00, 1.297208210223132e+00, 3.191349676515451e+02, 8.895301097939488e+00, 2.949677359912884e+05, 1.022723844283995e+05, 2.738749333622804e+02, 7.407897740221957e-01, 2.374592342633509e-02
255, -1.930714276741790e+00, -7.100999860311599e-01, 1.296553026630073e+00, 3.192134652383846e+02, 1.185844895242909e+01, 2.948567620763445e+05, 1.022028381061870e+05, 2.738269978193165e+02, 7.416346829964418e-01, 2.200276448014919e-02
256, -2.550723003184170e+00, -9.347350762347463e-01, 1.294424718103744e+00, 3.196979966831852e+02, 1.151285939751864e+01, 2.944438162440482e+05, 1.019651963430051e+05, 2.736394787593464e+02, 7.442056129403151e-01, 1.604634072833576e-02
257, -2.833436608513080e-01, -2.878882699757896e+00, 1.297288915419333e+00, 3.190850009709428e+02, 9.212038313664598e+00, 2.949777859332178e+05, 1.022814142003567e+05, 2.738820747195110e+02, 7.406389886961010e-01, 2.397225211300642e-02
258, -2.420167160952856e+00, -2.360048736287761e-01, 1.294185267983638e+00, 3.197222662295746e+02, 1.197083419892940e+01, 2.943933644032530e+05, 1.019380297905854e+05, 2.736171883658071e+02, 7.444691690676615e-01, 1.536541875603192e-02
259, -3.035540198967016e+00, -5.044516483875101e-01, 1.293084093987951e+00, 3.199318399285157e+02, 1.156448529488395e+01, 2.941775683256843e+05, 1.018189849152912e+05, 2.735303906120240e+02, 7.456743694892298e-01, 1.238159254114617e-02
260, -2.934990027731797e+00, 1.838258458896278e-01, 1.292646945227561e+00, 3.199798022227310e+02, 1.180757967305791e+01, 2.940853533178584e+05, 1.017711103353075e+05, 2.734942378339745e+02, 7.461082021383686e-01, 1.118162969999886e-02
261, 7.420158868965657e-01, 2.683538761157529e+00, 1.266535904082395e+00, 3.247877378654662e+02, 7.463044801473004e+00, 2.889217282538017e+05, 9.890232260793967e+04, 2.712642595619040e+02, 7.757793792073799e-01, -6.072372535799901e-02
262, 2.662131214243578e-01, 2.968351001791854e+00, 1.269585272022911e+00, 3.242639996884448e+02, 9.611102696223002e+00, 2.895223567034408e+05, 9.923037689173062e+04, 2.715103298682528e+02, 7.724531391314149e-01, -5.250113728386208e-02
263, 2.430026168098443e-01, -3.378820437271795e+00, 1.296623350221286e+00, 3.191846849946729e+02, 8.969622428593810e+00, 2.948347900531635e+05, 1.022070178061037e+05, 2.738233444090739e+02, 7.413139351506746e-01, 2.210752747940566e-02
264, -2.698467468488331e+00, -1.567149461469487e+00, 1.294070678666278e+00, 3.197426414893167e+02, 1.119951456531257e+01, 2.943713509709390e+05, 1.019285720357101e+05, 2.736160287306429e+02, 7.445190585448900e-01, 1.512836279825771e-02
265, 7.647870536762912e-01, -3.028161677061420e+00, 1.296727984766692e+00, 3.191882724605699e+02, 8.761941596929043e+00, 2.948609911107523e+05, 1.022189820020029e+05, 2.738333000251181e+02, 7.412355815770733e-01, 2.240740667433637e-02
266, -1.292182345748081e+00, -2.751904496338097e+00, 1.296660687401935e+00, 3.191951838961302e+02, 1.005334163782048e+01, 2.948604363481497e+05, 1.022135156102971e+05, 2.738328674996664e+02, 7.413789974689901e-01, 2.227039310838371e-02
267, -1.897542128448369e+00, -2.997206568943731e+00, 1.295148293695225e+00, 3.195009473329064e+02, 1.032509972388794e+01, 2.945610220304814e+05, 1.020443682518365e+05, 2.736989528426255e+02, 7.431569116239369e-01, 1.803076228760028e-02
268, -1.623277481435087e+00, 1.289247121836688e-01, 1.296442474833392e+00, 3.192509290944466e+02, 1.302707202306343e+01, 2.948352875749105e+05, 1.021847297213285e+05, 2.738018268882066e+02, 7.419246288586470e-01, 2.154888292232066e-02
269, -1.185639423721749e+00, -4.585986214698590e-02, 1.300948197689610e+00, 3.181849075746232e+02, 1.371135468936813e+01, 2.957105607236364e+05, 1.026910382062852e+05, 2.742054819540050e+02, 7.364141806576763e-01, 3.423936226046770e-02
270, -3.559683357809999e+00, -4.703291163006376e-02, 1.292184474681444e+00, 3.200981470224424e+02, 1.151999328506036e+01, 2.939973565291704e+05, 1.017195483018454e+05, 2.734535062969979e+02, 7.466820985098435e-01, 9.889241877702300e-03
271, -5.003881659156741e-01, -3.520340295658935e+00, 1.296366809772617e+00, 3.192177125638431e+02, 9.317590535145191e+00, 2.947833178947729e+05, 1.021790820755684e+05, 2.738026742526039e+02, 7.415884226801217e-01, 2.140732627462921e-02
