X,"Points_X","Pressure_Coefficient"
0,1.16663,-0.348821
1,1.16667,-0.348413
2,1.16883,-0.424094
3,1.16896,-0.428624
4,1.16897,-0.428536
5,1.171,-0.374643
6,1.17113,-0.369307
7,1.17293,-0.371268
8,1.17308,-0.375079
9,1.17473,-0.292783
10,1.1754,-0.270428
11,1.1767,-0.298228
12,1.1775,-0.316911
13,1.17882,-0.355101
14,1.17975,-0.284953
15,1.18095,-0.251799
16,1.18282,-0.266027
17,1.18322,-0.264329
18,1.18352,-0.282993
19,1.18561,-0.28593
20,1.18593,-0.28169
21,1.18765,-0.230121
22,1.18791,-0.221194
23,1.18905,-0.233344
24,1.18994,-0.183864
25,1.19129,-0.182945
26,1.19203,-0.217301
27,1.19366,-0.2824
28,1.19394,-0.288611
29,1.19522,-0.224632
30,1.19586,-0.195289
31,1.19597,-0.190955
32,1.19797,-0.190332
33,1.19834,-0.191063
34,1.20009,-0.177289
35,1.20084,-0.166477
36,1.20231,-0.153188
37,1.20355,-0.154298
38,1.20447,-0.1445
39,1.20619,-0.18305
40,1.20626,-0.185886
41,1.20634,-0.186662
42,1.20788,-0.207157
43,1.20919,-0.174812
44,1.20973,-0.156348
45,1.21173,-0.115338
46,1.21176,-0.115091
47,1.21189,-0.116475
48,1.21379,-0.138561
49,1.21457,-0.126501
50,1.2158,-0.112517
51,1.21716,-0.126227
52,1.21798,-0.122014
53,1.22007,-0.170966
54,1.22009,-0.171229
55,1.22015,-0.169001
56,1.22209,-0.0718679
57,1.22297,-0.0697004
58,1.22411,-0.0630524
59,1.22581,-0.121208
60,1.2261,-0.12681
61,1.22701,-0.131892
62,1.22811,-0.130558
63,1.22856,-0.120184
64,1.23017,-0.0805993
65,1.23181,-0.072058
66,1.2325,-0.0715416
67,1.23463,-0.0787043
68,1.23467,-0.07885
69,1.23478,-0.0778621
70,1.23681,-0.0673421
71,1.23743,-0.0639489
72,1.23892,-0.0585033
73,1.24035,-0.0371746
74,1.24099,-0.0348103
