"EVALUATION"    , "WING_VOLUME"   , "WING_MIN_THICKNESS", "WING_MAX_THICKNESS", "WING_MIN_CHORD", "WING_MAX_CHORD", "WING_MIN_LE_RADIUS", "WING_MAX_LE_RADIUS", "WING_MIN_TOC"  , "WING_MAX_TOC"  , "WING_OBJFUN_MIN_TOC", "WING_MAX_TWIST", "WING_MAX_CURVATURE", "WING_MAX_DIHEDRAL", "STATION1_AREA" , "STATION2_AREA" , "STATION3_AREA" , "STATION4_AREA" , "STATION5_AREA" , "STATION1_THICKNESS", "STATION2_THICKNESS", "STATION3_THICKNESS", "STATION4_THICKNESS", "STATION5_THICKNESS", "STATION1_CHORD", "STATION2_CHORD", "STATION3_CHORD", "STATION4_CHORD", "STATION5_CHORD", "STATION1_LE_RADIUS", "STATION2_LE_RADIUS", "STATION3_LE_RADIUS", "STATION4_LE_RADIUS", "STATION5_LE_RADIUS", "STATION1_TOC"  , "STATION2_TOC"  , "STATION3_TOC"  , "STATION4_TOC"  , "STATION5_TOC"  , "STATION1_TWIST", "STATION2_TWIST", "STATION3_TWIST", "STATION4_TWIST", "STATION5_TWIST", "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "rms[RhoW]"     , "RMS_ENERGY"    , "avg[bgs]"      , "rms[U][1]"     , "rms[R][1]"     , "rms[E][1]"     , "rms[DispX][1]" , "rms[DispY][1]" , "rms[DispZ][1]" , "avg[bgs][1]"   
11              , 0.0602579       , 0.0660273         , 0.119874          , 0.525793        , 0.9806          , 18.925            , 34.4561           , 0.12029         , 0.127877        , 0.0502898          , 2.16356         , 8.04877           , 12.0767          , 0.0814426       , 0.0642243       , 0.048877        , 0.0356341       , 0.024372        , 0.119874          , 0.106463          , 0.0929433         , 0.0795169         , 0.0660273         , 0.9806          , 0.874664        , 0.751905        , 0.629515        , 0.525793        , 19.0036           , 26.2499           , 24.4608           , 26.4221           , 33.4641           , 0.122245        , 0.121719        , 0.12361         , 0.126315        , 0.125577        , -0.873462       , -1.25302        , -1.06789        , -1.05306        , -1.33342        , 0.01008167429   , 23.14008434     , -0.01013080616  , 0.01978514494   , 0.233288665     , 0.2332907934    , 0.1591727296    , -0.04395514616  , 0.01815047933   , 0.01978514494   , 0.0             , 39.0            , 0.0             , -4.791497862    , -2.402921302    , -2.565715699    , -2.49385825     , 0.6673039145    , -3.265283918    , -14.15785149    , -5.513659718    , -20.16065688    , 0.0             , 0.0             , 0.0             , -8.606885922    
12              , 0.0602967       , 0.0659678         , 0.119911          , 0.525655        , 0.992801        , 18.8345           , 34.3744           , 0.120317        , 0.127829        , 0.0503169          , 1.20492         , 8.50134           , 12.824           , 0.0815915       , 0.0642873       , 0.0488967       , 0.0356281       , 0.0243578       , 0.119911          , 0.106401          , 0.0929454         , 0.0794948         , 0.0659678         , 0.992801        , 0.874492        , 0.751779        , 0.62941         , 0.525655        , 18.9311           , 26.1859           , 24.3935           , 26.3368           , 33.4093           , 0.12078         , 0.121672        , 0.123634        , 0.126301        , 0.125497        , -0.339993       , -0.527703       , -0.200102       , -0.104053       , -0.223344       , 0.006683478369  , 42.6597472      , -0.00583474849  , 0.01693487765   , 0.2851341291    , 0.2851154976    , 0.1967945319    , -0.1049691475   , 0.01501775465   , 0.01693487765   , 0.0             , 39.0            , 0.0             , -4.50853086     , -2.113363705    , -2.246181323    , -2.140400554    , 0.959978682     , -3.020954268    , -13.77824563    , -5.510381613    , -20.16384327    , 0.0             , 0.0             , 0.0             , -8.701400882    
13              , 0.0603005       , 0.0659628         , 0.119919          , 0.525652        , 0.994176        , 18.8246           , 34.366            , 0.12032         , 0.127823        , 0.0503204          , 1.11203         , 8.54609           , 12.9404          , 0.0816046       , 0.0642936       , 0.0488987       , 0.0356275       , 0.0243564       , 0.119919          , 0.106396          , 0.0929474         , 0.0794938         , 0.0659628         , 0.994176        , 0.874482        , 0.751776        , 0.629409        , 0.525652        , 18.9229           , 26.1787           , 24.3864           , 26.3282           , 33.4038           , 0.120622        , 0.121668        , 0.123637        , 0.126299        , 0.125488        , -0.278595       , -0.455158       , -0.113312       , -0.00914088     , -0.112313       , 0.006654690109  , 43.60288816     , -0.004846106503 , 0.01655744469   , 0.2901995484    , 0.2901637086    , 0.2004567075    , -0.1110803862   , 0.01429883016   , 0.01655744469   , 0.0             , 39.0            , 0.0             , -4.481086722    , -2.087657983    , -2.216360515    , -2.109923568    , 0.9872148495    , -2.984575306    , -13.82588815    , -5.524170138    , -20.18138497    , 0.0             , 0.0             , 0.0             , -8.74328851     
14              , 0.0602588       , 0.0660265         , 0.119873          , 0.525793        , 0.980686        , 18.9247           , 34.4583           , 0.120289        , 0.127875        , 0.0502887          , 2.16411         , 8.05415           , 12.0797          , 0.0814439       , 0.0642254       , 0.0488778       , 0.0356345       , 0.0243721       , 0.119873          , 0.106463          , 0.0929432         , 0.0795169         , 0.0660265         , 0.980686        , 0.874664        , 0.751905        , 0.629515        , 0.525793        , 19.0036           , 26.2515           , 24.4611           , 26.4196           , 33.4636           , 0.122233        , 0.121718        , 0.12361         , 0.126314        , 0.125575        , -0.873535       , -1.25292        , -1.0682         , -1.05406        , -1.33324        , 0.009944225494  , 23.51825319     , -0.01020885711  , 0.01978488938   , 0.2338594108    , 0.233870813     , 0.1596592983    , -0.04476757709  , 0.01822352297   , 0.01978488938   , 0.0             , 39.0            , 0.0             , -4.789053284    , -2.400297895    , -2.563396794    , -2.491459468    , 0.6699970942    , -3.270026066    , -13.83948948    , -5.524360418    , -20.17405919    , 0.0             , 0.0             , 0.0             , -8.602742005    
15              , 0.0602964       , 0.0659683         , 0.11991           , 0.525655        , 0.992676        , 18.8354           , 34.3754           , 0.120316        , 0.127829        , 0.0503164          , 1.21439         , 8.49739           , 12.8137          , 0.0815903       , 0.0642868       , 0.0488966       , 0.0356282       , 0.024358        , 0.11991           , 0.106401          , 0.0929452         , 0.0794949         , 0.0659683         , 0.992676        , 0.874493        , 0.751779        , 0.62941         , 0.525655        , 18.9319           , 26.1867           , 24.3942           , 26.3374           , 33.4098           , 0.120794        , 0.121672        , 0.123634        , 0.126301        , 0.125497        , -0.345926       , -0.534948       , -0.208812       , -0.113644       , -0.234429       , 0.006685563411  , 42.57890732     , -0.005921104346 , 0.016968358     , 0.2846809118    , 0.2846639848    , 0.1964734434    , -0.1044404247   , 0.01508156105   , 0.016968358     , 0.0             , 39.0            , 0.0             , -4.510979952    , -2.115632161    , -2.248836521    , -2.143047422    , 0.9575479807    , -3.024166502    , -13.62866733    , -5.525625107    , -20.18579786    , 0.0             , 0.0             , 0.0             , -8.698629075    
16              , 0.0603001       , 0.0659633         , 0.119918          , 0.525652        , 0.994024        , 18.8257           , 34.367            , 0.12032         , 0.127824        , 0.05032            , 1.12227         , 8.54122           , 12.9278          , 0.0816032       , 0.0642929       , 0.0488985       , 0.0356276       , 0.0243565       , 0.119918          , 0.106397          , 0.0929472         , 0.0794939         , 0.0659633         , 0.994024        , 0.874483        , 0.751776        , 0.629409        , 0.525652        , 18.9238           , 26.1795           , 24.3872           , 26.3291           , 33.4044           , 0.120639        , 0.121668        , 0.123637        , 0.126299        , 0.125489        , -0.285415       , -0.463137       , -0.122862       , -0.0195912      , -0.124525       , 0.006654980499  , 43.51849798     , -0.004958748219 , 0.01659929803   , 0.2896487634    , 0.2896147554    , 0.2000591653    , -0.1104166622   , 0.01438087601   , 0.01659929803   , 0.0             , 39.0            , 0.0             , -4.484065816    , -2.090610397    , -2.219477678    , -2.1130945      , 0.984265378     , -2.988022746    , -14.18513615    , -5.535450875    , -20.20050778    , 0.0             , 0.0             , 0.0             , -8.738437602    
17              , 0.0603005       , 0.0659628         , 0.119919          , 0.525652        , 0.994161        , 18.8247           , 34.3661           , 0.12032         , 0.127823        , 0.0503203          , 1.11305         , 8.5456            , 12.9391          , 0.0816045       , 0.0642935       , 0.0488987       , 0.0356275       , 0.0243564       , 0.119919          , 0.106396          , 0.0929474         , 0.0794938         , 0.0659628         , 0.994161        , 0.874482        , 0.751776        , 0.629409        , 0.525652        , 18.923            , 26.1788           , 24.3865           , 26.3283           , 33.4038           , 0.120623        , 0.121668        , 0.123637        , 0.126299        , 0.125488        , -0.279278       , -0.455956       , -0.114267       , -0.0101859      , -0.113534       , 0.006654691817  , 43.5946296      , -0.004857421516 , 0.01656163736   , 0.2901444823    , 0.2901088249    , 0.2004169631    , -0.1110140181   , 0.01430707168   , 0.01656163736   , 0.0             , 39.0            , 0.0             , -4.481379305    , -2.087964395    , -2.216667491    , -2.110238031    , 0.9869246774    , -2.984903579    , -13.66806455    , -5.528351191    , -20.18644668    , 0.0             , 0.0             , 0.0             , -8.742768022    
18              , 0.0603005       , 0.0659628         , 0.119919          , 0.525652        , 0.994173        , 18.8246           , 34.366            , 0.12032         , 0.127823        , 0.0503204          , 1.11225         , 8.54598           , 12.9401          , 0.0816046       , 0.0642936       , 0.0488987       , 0.0356275       , 0.0243564       , 0.119919          , 0.106396          , 0.0929474         , 0.0794938         , 0.0659628         , 0.994173        , 0.874482        , 0.751776        , 0.629409        , 0.525652        , 18.9229           , 26.1788           , 24.3864           , 26.3282           , 33.4038           , 0.120622        , 0.121668        , 0.123637        , 0.126299        , 0.125488        , -0.27874        , -0.455328       , -0.113514       , -0.00936259     , -0.112572       , 0.006654689967  , 43.60113936     , -0.004848508027 , 0.01655833433   , 0.2901878659    , 0.2901520647    , 0.2004482755    , -0.1110663057   , 0.01430057936   , 0.01655833433   , 0.0             , 39.0            , 0.0             , -4.481148771    , -2.087723094    , -2.216425662    , -2.109990305    , 0.9871533046    , -2.984645024    , -13.7789979     , -5.526312989    , -20.17106267    , 0.0             , 0.0             , 0.0             , -8.743182185    
19              , 0.0602591       , 0.0660268         , 0.119873          , 0.525796        , 0.980608        , 18.9257           , 34.4618           , 0.120287        , 0.127874        , 0.0502872          , 2.18045         , 8.05266           , 12.0787          , 0.0814426       , 0.0642256       , 0.0488784       , 0.0356351       , 0.0243724       , 0.119873          , 0.106463          , 0.0929432         , 0.0795173         , 0.0660268         , 0.980608        , 0.874668        , 0.751908        , 0.629518        , 0.525796        , 19.0047           , 26.2539           , 24.4624           , 26.4184           , 33.464            , 0.122243        , 0.121719        , 0.12361         , 0.126315        , 0.125575        , -0.880533       , -1.26367        , -1.08151        , -1.06928        , -1.34972        , 0.009900745456  , 23.60072685     , -0.01027480422  , 0.01981407044   , 0.2336486397    , 0.2336647891    , 0.1595740423    , -0.04467620295  , 0.01828804708   , 0.01981407044   , 0.0             , 39.0            , 0.0             , -4.789899779    , -2.400783097    , -2.564175784    , -2.491930045    , 0.6691588114    , -3.270156554    , -14.33199141    , -5.510283714    , -20.15924034    , 0.0             , 0.0             , 0.0             , -8.602403775    
20              , 0.0602964       , 0.0659684         , 0.119909          , 0.525655        , 0.992663        , 18.8356           , 34.3758           , 0.120316        , 0.127829        , 0.0503163          , 1.21615         , 8.49715           , 12.8131          , 0.0815902       , 0.0642868       , 0.0488967       , 0.0356282       , 0.024358        , 0.119909          , 0.106402          , 0.0929452         , 0.079495          , 0.0659684         , 0.992663        , 0.874493        , 0.751779        , 0.62941         , 0.525655        , 18.932            , 26.187            , 24.3943           , 26.3373           , 33.4098           , 0.120796        , 0.121672        , 0.123634        , 0.126301        , 0.125498        , -0.346831       , -0.536175       , -0.210325       , -0.115367       , -0.236311       , 0.006682886898  , 42.59117701     , -0.005929806911 , 0.01697118113   , 0.2846487037    , 0.2846320188    , 0.196456634     , -0.1044187944   , 0.01508892524   , 0.01697118113   , 0.0             , 39.0            , 0.0             , -4.511064878    , -2.115711945    , -2.248919728    , -2.143122809    , 0.9574644737    , -3.024253292    , -13.94014701    , -5.523079679    , -20.17366353    , 0.0             , 0.0             , 0.0             , -8.698767946    
