"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          25,       -1.49802663,      0.7958645928,      0.7538171419,       3.986593573,     0.04137525481,      0.6734028561,                 0,                 0,                 0,      0.1073607945,     0.01784862937,      0.6744366129,                 0,        16.2754975
          0,           0,          26,      -1.546785457,      0.7525861406,       0.717730301,       3.936059607,     0.04103872738,      0.6768796671,                 0,                 0,                 0,      0.1098778811,     0.01739096798,      0.6778995612,                 0,       16.49368073
          0,           0,          27,      -1.592385618,      0.7062149919,       0.691639457,       3.889384129,     0.04058452527,      0.6807248277,                 0,                 0,                 0,      0.1121378811,      0.0168028484,       0.681726528,                 0,       16.77301442
          0,           0,          28,      -1.631296551,      0.6576221206,      0.6683912257,       3.850105333,     0.04010035341,      0.6848110075,                 0,                 0,                 0,      0.1140147212,     0.01617636586,      0.6857933213,                 0,       17.07743073
          0,           0,          29,      -1.660742171,      0.6097453086,      0.6444207791,       3.820654021,     0.03965903783,      0.6889903454,                 0,                 0,                 0,      0.1154433534,     0.01558946233,      0.6899547116,                 0,       17.37284572
          0,           0,          30,      -1.680483873,      0.5666616123,      0.6190852018,       3.800905281,     0.03931394555,      0.6930961899,                 0,                 0,                 0,      0.1164008726,     0.01510128836,      0.6940460114,                 0,       17.62977947
          0,           0,          31,      -1.693070751,       0.530815827,       0.591843324,       3.788300211,     0.03909619846,      0.6969520858,                 0,                 0,                 0,       0.116899192,     0.01474910509,      0.6978919591,                 0,       17.82659474
          0,           0,          32,      -1.701928125,      0.5013466617,      0.5619080273,       3.779725777,     0.03901565931,      0.7004035296,                 0,                 0,                 0,      0.1169815057,     0.01454816135,      0.7013384896,                 0,       17.95185682
          0,           0,          33,      -1.710818414,      0.4758975032,      0.5288316162,       3.771631217,     0.03906570919,      0.7033380819,                 0,                 0,                 0,      0.1167187836,     0.01449576635,      0.7042730009,                 0,       18.00397577
          0,           0,          34,      -1.723158595,      0.4507210346,      0.4932849751,       3.760627535,     0.03922783168,      0.7056879103,                 0,                 0,                 0,      0.1162025051,     0.01457578225,      0.7066270558,                 0,       17.98947023
          0,           0,          35,      -1.739529689,      0.4242784008,      0.4562851806,        3.74599309,     0.03947484599,      0.7074126031,                 0,                 0,                 0,      0.1155351974,     0.01476245517,      0.7083593187,                 0,       17.92059184
          0,           0,          36,      -1.762909497,      0.3969609758,      0.4180276447,        3.72473431,     0.03977971405,      0.7085514762,                 0,                 0,                 0,      0.1148295561,     0.01502739142,      0.7095081378,                 0,       17.81187957
          0,           0,          37,      -1.795311055,      0.3662668954,      0.3788242402,       3.694649369,     0.04010814575,      0.7091501468,                 0,                 0,                 0,      0.1141658773,     0.01533472974,      0.7101179058,                 0,       17.68095068
          0,           0,          38,      -1.836451777,      0.3368991125,      0.3383790909,       3.655653662,     0.04043160303,      0.7093296832,                 0,                 0,                 0,      0.1136227995,     0.01565172425,      0.7103086213,                 0,       17.54394162
          0,           0,          39,      -1.885455867,      0.3088090547,      0.2979776597,       3.608328303,      0.0407142582,      0.7091680991,                 0,                 0,                 0,      0.1132310326,     0.01593984644,      0.7101570002,                 0,       17.41817561
          0,           1,           0,      -1.137440073,        1.32459273,       1.348466887,       4.348923963,     0.01369700865,      0.5287399391,                 0,                 0,                 0,     0.05912250716,   -0.004764092959,      0.5288958637,                 0,       38.60258489
          0,           1,           1,      -1.409655724,       1.142619537,       1.128768916,       4.097426081,     0.01341887502,      0.5033036993,                 0,                 0,                 0,     0.05756895923,   -0.004154345187,      0.5034654123,                 0,        37.5071456
          0,           1,           2,      -1.333244821,       1.209175009,       1.198071985,       4.158338843,     0.01332797803,      0.4995846335,                 0,                 0,                 0,     0.06595986265,   -0.004115393284,      0.4997454398,                 0,       37.48390284
          0,           1,           3,      -1.300405626,       1.188900231,       1.169063969,       4.187462864,     0.01288598931,      0.4846793589,                 0,                 0,                 0,     0.07051037124,   -0.004036926175,      0.4848338199,                 0,       37.61289469
          0,           1,           4,      -1.282892806,       1.175906611,       1.166935289,       4.215558607,     0.01205699678,      0.4612354994,                 0,                 0,                 0,     0.07102918278,   -0.004047234801,      0.4613753103,                 0,       38.25459255
          0,           1,           5,      -1.282620247,       1.168698407,       1.167997222,       4.218366859,     0.01106536691,      0.4376799363,                 0,                 0,                 0,     0.07067141338,   -0.004216183312,      0.4377994893,                 0,       39.55403739
          0,           1,           6,       -1.29842647,       1.132750272,       1.127729304,       4.193680629,     0.01012285613,      0.4181809453,                 0,                 0,                 0,     0.07110617701,   -0.004477614959,      0.4182794834,                 0,       41.31056886
          0,           1,           7,      -1.316758723,       1.070012432,       1.045571835,       4.164762653,    0.009344538304,      0.4033539442,                 0,                 0,                 0,     0.07246223672,   -0.004738003783,      0.4034343516,                 0,       43.16467343
          0,           1,           8,      -1.329929555,        1.00952568,      0.9580463987,       4.150044701,    0.008765598348,      0.3923169516,                 0,                 0,                 0,     0.07433868819,   -0.004931405575,      0.3923838776,                 0,       44.75643715
          0,           1,           9,      -1.340659146,      0.9765673558,      0.9187085056,       4.145657663,    0.008361991305,      0.3836077902,                 0,                 0,                 0,     0.07615804077,   -0.005030821404,       0.383665936,                 0,        45.8751721
          0,           1,          10,      -1.353893099,      0.9617224112,      0.9212954386,       4.138741094,    0.008147345643,      0.3764948044,                 0,                 0,                 0,     0.07763212631,   -0.004997096686,      0.3765497922,                 0,       46.21073181
          0,           1,          11,      -1.370149861,      0.9449573945,      0.9208542236,       4.124385608,    0.008132309655,      0.3706793212,                 0,                 0,                 0,     0.07875326787,   -0.004809166078,      0.3707373269,                 0,       45.58106331
