"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
253, -1.998985846585322e-01, -2.343563097791295e+00, 1.298122662210581e+00, 3.189595097549963e+02, 9.019000954261372e+00, 2.951550992447276e+05, 1.023753077417634e+05, 2.739574282826105e+02, 7.397579004777891e-01, 2.632566723957553e-02
254, 2.533912546419070e-01, -2.691726287454982e+00, 1.297208210218822e+00, 3.191349676525817e+02, 8.895301095959683e+00, 2.949677359905039e+05, 1.022723844279369e+05, 2.738749333619517e+02, 7.407897740273782e-01, 2.374592341473929e-02
255, -1.930714273906087e+00, -7.100999835734085e-01, 1.296553026643374e+00, 3.192134652353256e+02, 1.185844895547764e+01, 2.948567620789391e+05, 1.022028381076764e+05, 2.738269978204980e+02, 7.416346829803990e-01, 2.200276451748175e-02
256, -2.550723000427519e+00, -9.347350737811265e-01, 1.294424718111140e+00, 3.196979966818473e+02, 1.151285939923214e+01, 2.944438162455215e+05, 1.019651963438108e+05, 2.736394787599452e+02, 7.442056129322817e-01, 1.604634074853102e-02
257, -2.833436572195602e-01, -2.878882697406286e+00, 1.297288915421085e+00, 3.190850009711378e+02, 9.212038310842551e+00, 2.949777859336374e+05, 1.022814142005345e+05, 2.738820747196172e+02, 7.406389886952203e-01, 2.397225211746390e-02
258, -2.420167157943639e+00, -2.360048710620626e-01, 1.294185267989689e+00, 3.197222662283547e+02, 1.197083420212326e+01, 2.943933644044485e+05, 1.019380297912463e+05, 2.736171883663017e+02, 7.444691690609493e-01, 1.536541877259730e-02
259, -3.035540196404332e+00, -5.044516462297305e-01, 1.293084093991564e+00, 3.199318399277660e+02, 1.156448529626366e+01, 2.941775683263998e+05, 1.018189849156910e+05, 2.735303906123336e+02, 7.456743694850950e-01, 1.238159255116593e-02
260, -2.934990024812532e+00, 1.838258481132562e-01, 1.292646945229897e+00, 3.199798022221123e+02, 1.180757967511617e+01, 2.940853533183117e+05, 1.017711103355712e+05, 2.734942378341891e+02, 7.461082021354637e-01, 1.118162970660940e-02
261, 7.420158916777129e-01, 2.683538763552280e+00, 1.266535904133982e+00, 3.247877378557543e+02, 7.463044781289350e+00, 2.889217282638429e+05, 9.890232261367874e+04, 2.712642595665960e+02, 7.757793791447802e-01, -6.072372521415080e-02
262, 2.662131260183411e-01, 2.968351003743626e+00, 1.269585272014935e+00, 3.242639996885314e+02, 9.611102676775365e+00, 2.895223567017292e+05, 9.923037689099190e+04, 2.715103298679371e+02, 7.724531391355505e-01, -5.250113730237773e-02
