"arc_length","Displacement_Magnitude","Von_Mises_Stress"
0.289772,0.00118668,1.998e+06
0.291583,0.00120032,2.01581e+06
0.293394,0.00121475,2.05243e+06
0.295206,0.00122917,2.08904e+06
0.297017,0.0012436,2.12566e+06
0.298828,0.00125803,2.16227e+06
0.300639,0.00127246,2.19889e+06
0.30245,0.00128689,2.2355e+06
0.304261,0.00130133,2.27211e+06
0.306072,0.00131576,2.30873e+06
0.307883,0.0013302,2.34563e+06
0.309694,0.00134484,2.39032e+06
0.311505,0.00135954,2.43147e+06
0.313316,0.00137475,2.40708e+06
0.315127,0.00139012,2.33759e+06
0.316938,0.00140556,2.27014e+06
0.31875,0.00142108,2.20509e+06
0.320561,0.00143659,2.13683e+06
0.322372,0.00145205,2.05693e+06
0.324183,0.00146751,1.97703e+06
0.325994,0.00148309,1.91745e+06
0.327805,0.00149868,1.85817e+06
0.329616,0.00151426,1.7989e+06
0.331427,0.00152984,1.73962e+06
0.333238,0.00154555,1.7261e+06
0.335049,0.00156152,1.79137e+06
0.33686,0.00157747,1.82009e+06
0.338671,0.00159342,1.84881e+06
0.340482,0.00160937,1.87753e+06
0.342294,0.00162532,1.90625e+06
0.344105,0.0016413,1.93607e+06
0.345916,0.00165752,1.97718e+06
0.347727,0.00167375,2.0183e+06
0.349538,0.00168997,2.05942e+06
0.351349,0.00170649,1.99017e+06
0.35316,0.00172311,1.88287e+06
0.354971,0.00173982,1.80399e+06
0.356782,0.00175687,1.83006e+06
0.358593,0.00177392,1.85613e+06
0.360404,0.00179097,1.87191e+06
0.362215,0.00180802,1.77585e+06
0.364026,0.00182507,1.6313e+06
0.365838,0.00184212,1.48674e+06
0.367649,0.00185921,1.36552e+06
0.36946,0.00187658,1.41242e+06
0.371271,0.00189396,1.45932e+06
0.373082,0.00191134,1.50621e+06
0.374893,0.00192871,1.55311e+06
0.376704,0.00194609,1.60001e+06
0.378515,0.00196347,1.6469e+06
0.380326,0.00198113,1.62883e+06
0.382137,0.00199894,1.57718e+06
0.383948,0.00201675,1.52553e+06
0.385759,0.00203455,1.47388e+06
0.38757,0.00205236,1.42223e+06
0.389382,0.00207017,1.37058e+06
0.391193,0.00208814,1.38981e+06
0.393004,0.00210657,1.43711e+06
0.394815,0.00212512,1.47123e+06
0.396626,0.00214366,1.50534e+06
0.398437,0.00216221,1.53945e+06
0.400248,0.00218087,1.5695e+06
0.402059,0.00219958,1.59771e+06
0.40387,0.00221829,1.62591e+06
0.405681,0.002237,1.65411e+06
0.407492,0.00225571,1.68231e+06
0.409303,0.00227442,1.71052e+06
0.411114,0.00229302,1.74756e+06
0.412926,0.00231179,1.72029e+06
0.414737,0.0023306,1.67831e+06
0.416548,0.00234941,1.63632e+06
0.418359,0.00236823,1.59434e+06
0.42017,0.00238708,1.54136e+06
0.421981,0.00240651,1.58039e+06
0.423792,0.00242602,1.61681e+06
0.425603,0.00244553,1.65324e+06
0.427414,0.00246504,1.68967e+06
0.429225,0.00248459,1.70998e+06
0.431036,0.00250422,1.70537e+06
0.432847,0.00252377,1.69263e+06
0.434658,0.0025433,1.67783e+06
0.43647,0.00256282,1.66303e+06
0.438281,0.00258235,1.64824e+06
0.440092,0.00260188,1.63344e+06
0.441903,0.0026216,1.62274e+06
0.443714,0.00264177,1.62216e+06
0.445525,0.00266195,1.62157e+06
0.447336,0.0026823,1.57188e+06
0.449147,0.00270267,1.51408e+06
0.450958,0.00272324,1.48947e+06
0.452769,0.00274395,1.4903e+06
0.45458,0.00276467,1.48991e+06
0.456391,0.0027855,1.48253e+06
0.458202,0.00280634,1.47514e+06
0.460014,0.00282717,1.46775e+06
0.461825,0.00284801,1.46037e+06
0.463636,0.00286884,1.45298e+06
0.465447,0.00288968,1.4456e+06
0.467258,0.00291051,1.43821e+06
0.469069,0.00293135,1.43082e+06
0.47088,0.00295218,1.42344e+06
0.472691,0.00297304,1.42918e+06
0.474502,0.00299392,1.44108e+06
0.476313,0.00301479,1.45297e+06
0.478124,0.00303593,1.44452e+06
0.479935,0.00305737,1.41622e+06
0.481746,0.00307908,1.38373e+06
0.483558,0.00310079,1.35124e+06
0.485369,0.00312251,1.31875e+06
0.48718,0.00314412,1.38133e+06
0.488991,0.00316574,1.44822e+06
0.490802,0.00318736,1.51511e+06
0.492613,0.00320897,1.58199e+06
0.494424,0.00323059,1.64888e+06
0.496235,0.00325224,1.67294e+06
0.498046,0.00327411,1.53133e+06
0.499857,0.00329666,1.63923e+06
0.501668,0.00331915,1.66801e+06
0.503479,0.00334154,1.5736e+06
0.505291,0.00336394,1.47918e+06
0.507102,0.0033863,1.39017e+06
0.508913,0.00340859,1.31716e+06
0.510724,0.003431,1.36854e+06
0.512535,0.00345342,1.41992e+06
0.514346,0.00347584,1.4713e+06
0.516157,0.00349826,1.52268e+06
0.517968,0.0035207,1.54491e+06
0.519779,0.00354325,1.52962e+06
0.52159,0.00356604,1.50004e+06
0.523401,0.00358882,1.47047e+06
0.525212,0.00361161,1.44089e+06
0.527023,0.0036344,1.41131e+06
0.528835,0.00365771,1.40826e+06
0.530646,0.00368107,1.40788e+06
0.532457,0.00370442,1.40749e+06
0.534268,0.00372783,1.41021e+06
0.536079,0.00375133,1.42005e+06
0.53789,0.00377484,1.42989e+06
0.539701,0.00379834,1.43973e+06
0.541512,0.00382185,1.44957e+06
0.543323,0.00384536,1.45941e+06
0.545134,0.00386886,1.46925e+06
0.546945,0.00389264,1.49522e+06
0.548756,0.00391658,1.47679e+06
0.550567,0.00394052,1.45837e+06
0.552379,0.00396446,1.43994e+06
0.55419,0.0039884,1.42151e+06
0.556001,0.00401266,1.39329e+06
0.557812,0.00403704,1.42469e+06
0.559623,0.0040614,1.44798e+06
0.561434,0.00408575,1.46873e+06
0.563245,0.0041101,1.48948e+06
0.565056,0.00413446,1.51022e+06
0.566867,0.00415887,1.47692e+06
0.568678,0.00418329,1.43927e+06
0.570489,0.0042077,1.40162e+06
0.5723,0.00423212,1.36398e+06
0.574111,0.00425654,1.32633e+06
0.575922,0.00428108,1.30307e+06
0.577734,0.00430576,1.28998e+06
0.579545,0.00433047,1.26108e+06
0.581356,0.00435518,1.23217e+06
0.583167,0.00438007,1.24372e+06
0.584978,0.00440507,1.28243e+06
0.586789,0.00443008,1.32114e+06
0.5886,0.00445509,1.35182e+06
0.590411,0.00448013,1.37356e+06
0.592222,0.00450563,1.35863e+06
0.594033,0.00453113,1.3437e+06
0.595844,0.00455663,1.32878e+06
0.597655,0.00458234,1.3245e+06
0.599467,0.00460806,1.32119e+06
0.601278,0.00463379,1.31788e+06
0.603089,0.00465952,1.31457e+06
0.6049,0.00468525,1.31125e+06
0.606711,0.00471098,1.30821e+06
0.608522,0.00473659,1.31123e+06
0.610333,0.0047622,1.31425e+06
0.612144,0.00478799,1.31575e+06
0.613955,0.00481389,1.31645e+06
0.615766,0.00483979,1.31715e+06
0.617577,0.00486568,1.31785e+06
0.619388,0.00489168,1.31428e+06
0.621199,0.00491822,1.28739e+06
0.62301,0.00494476,1.26049e+06
0.624822,0.0049713,1.23359e+06
0.626633,0.00499784,1.20669e+06
0.628444,0.00502439,1.17979e+06
0.630255,0.00505093,1.1529e+06
0.632066,0.00507747,1.126e+06
0.633877,0.00510401,1.0991e+06
0.635688,0.00513058,1.11164e+06
0.637499,0.00515733,1.18581e+06
0.63931,0.00518409,1.24924e+06
0.641121,0.00521098,1.16772e+06
0.642932,0.00523788,1.0862e+06
0.644743,0.00526503,1.07491e+06
0.646554,0.00529222,1.09079e+06
0.648366,0.0053194,1.10667e+06
0.650177,0.00534658,1.12255e+06
0.651988,0.00537376,1.13842e+06
0.653799,0.00540094,1.1543e+06
0.65561,0.00542813,1.17018e+06
0.657421,0.00545531,1.18606e+06
0.659232,0.00548249,1.20193e+06
0.661043,0.00550992,1.22667e+06
0.662854,0.00553762,1.26128e+06
0.664665,0.00556532,1.29588e+06
0.666476,0.00559303,1.33049e+06
0.668287,0.00562073,1.3651e+06
0.670098,0.00564853,1.38689e+06
0.67191,0.00567655,1.36328e+06
0.673721,0.00570456,1.33968e+06
0.675532,0.00573257,1.31607e+06
0.677343,0.00576089,1.30647e+06
0.679154,0.00578932,1.30195e+06
0.680965,0.00581775,1.29744e+06
0.682776,0.00584619,1.29292e+06
0.684587,0.00587462,1.2884e+06
0.686398,0.00590305,1.28389e+06
0.688209,0.00593148,1.27937e+06
0.69002,0.00595992,1.27483e+06
0.691831,0.0059882,1.27805e+06
0.693642,0.00601665,1.29094e+06
0.695454,0.00604509,1.30382e+06
0.697265,0.00607354,1.31671e+06
0.699076,0.00610203,1.33578e+06
0.700887,0.00613102,1.36113e+06
0.702698,0.00616003,1.38088e+06
0.704509,0.00618904,1.40064e+06
0.70632,0.00621805,1.42039e+06
0.708131,0.00624725,1.41547e+06
0.709942,0.00627644,1.40531e+06
0.711753,0.00630562,1.39602e+06
0.713564,0.0063348,1.38672e+06
0.715375,0.00636397,1.37743e+06
0.717187,0.00639315,1.36813e+06
0.718998,0.00642233,1.35883e+06
0.720809,0.00645164,1.33096e+06
0.72262,0.00648107,1.28752e+06
0.724431,0.00651056,1.23588e+06
0.726242,0.00654013,1.17366e+06
0.728053,0.00656969,1.11143e+06
0.729864,0.00659956,1.14176e+06
0.731675,0.00662943,1.17661e+06
0.733486,0.00665931,1.21145e+06
0.735297,0.00668922,1.23738e+06
0.737108,0.00671915,1.25314e+06
0.738919,0.00674908,1.2689e+06
0.74073,0.00677901,1.28466e+06
0.742542,0.00680911,1.29387e+06
0.744353,0.00683941,1.29582e+06
0.746164,0.0068697,1.29778e+06
0.747975,0.0069,1.29973e+06
0.749786,0.00693029,1.30169e+06
0.751597,0.00696059,1.30365e+06
0.753408,0.00699109,1.27272e+06
0.755219,0.00702189,1.28899e+06
0.75703,0.0070527,1.3054e+06
0.758841,0.00708351,1.32181e+06
0.760652,0.00711436,1.20302e+06
0.762463,0.00714524,1.09144e+06
0.764274,0.00717634,1.10144e+06
0.766086,0.00720744,1.11143e+06
0.767897,0.00723855,1.12143e+06
0.769708,0.00726968,1.14814e+06
0.771519,0.00730083,1.18264e+06
0.77333,0.00733198,1.21715e+06
0.775141,0.00736312,1.24632e+06
0.776952,0.00739411,1.22478e+06
0.778763,0.00742542,1.25785e+06
0.780574,0.00745702,1.33871e+06
0.782385,0.00748861,1.41956e+06
0.784196,0.00752016,1.47972e+06
0.786007,0.00755163,1.50136e+06
0.787818,0.0075831,1.47204e+06
0.78963,0.00761456,1.42868e+06
0.791441,0.00764603,1.38532e+06
0.793252,0.0076775,1.35918e+06
0.795063,0.00770898,1.33696e+06
0.796874,0.00774045,1.31474e+06
0.798685,0.00777202,1.29402e+06
0.800496,0.00780403,1.28001e+06
0.802307,0.00783604,1.266e+06
0.804118,0.00786805,1.252e+06
0.805929,0.00790025,1.24095e+06
0.80774,0.00793257,1.23173e+06
0.809551,0.00796489,1.22088e+06
0.811363,0.00799721,1.20642e+06
0.813174,0.00802954,1.19196e+06
0.814985,0.00806186,1.1775e+06
0.816796,0.00809419,1.16443e+06
0.818607,0.00812655,1.16596e+06
0.820418,0.00815895,1.16217e+06
0.822229,0.00819165,1.12053e+06
0.82404,0.00822436,1.0789e+06
0.825851,0.00825706,1.03726e+06
0.827662,0.00828978,1.00421e+06
0.829473,0.00832276,1.09197e+06
0.831284,0.00835575,1.17973e+06
0.833095,0.00838878,1.27693e+06
0.834907,0.00842192,1.40505e+06
0.836718,0.00845507,1.53317e+06
0.838529,0.00848822,1.53589e+06
0.84034,0.00852137,1.50072e+06
0.842151,0.00855482,1.60244e+06
0.843962,0.00858802,1.60458e+06
0.845773,0.00862107,1.54023e+06
0.847584,0.00865426,1.47444e+06
0.849395,0.00868774,1.40597e+06
0.851206,0.00872122,1.33751e+06
0.853017,0.00875469,1.26905e+06
0.854828,0.00878817,1.20058e+06
0.856639,0.00882183,1.19527e+06
0.858451,0.00885548,1.18971e+06
0.860262,0.0088892,1.17295e+06
0.862073,0.00892293,1.15353e+06
0.863884,0.00895685,1.1361e+06
0.865695,0.00899079,1.119e+06
0.867506,0.00902488,1.10589e+06
0.869317,0.00905929,1.10221e+06
0.871128,0.00909365,1.09794e+06
0.872939,0.00912791,1.09259e+06
0.87475,0.00916218,1.08725e+06
0.876561,0.00919644,1.0819e+06
0.878372,0.00923071,1.07655e+06
0.880183,0.00926497,1.07121e+06
0.881995,0.00929924,1.06586e+06
0.883806,0.00933351,1.06052e+06
0.885617,0.00936777,1.05517e+06
0.887428,0.00940204,1.04982e+06
0.889239,0.00943631,1.04448e+06
0.89105,0.00947058,1.02409e+06
0.892861,0.00950486,997311
0.894672,0.00953918,972017
0.896483,0.00957399,965540
0.898294,0.00960882,958355
0.900105,0.00964381,947690
0.901916,0.0096788,937026
0.903727,0.00971378,926360
0.905538,0.00974877,915695
0.90735,0.00978376,905031
0.909161,0.00981874,894365
0.910972,0.00985373,883701
0.912783,0.00988872,873036
0.914594,0.00992394,934600
0.916405,0.0099592,1.01047e+06
0.918216,0.00999448,1.08188e+06
