"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
2590, 7.855950026896903e-01, 1.337033557358121e+00, -9.062467990556362e-02, 1.232672509452052e+00, 3.236392245473178e+02, 4.615436396506992e+00, 1.807448836476925e+00, 2.817171337828213e+05, 9.568851600066353e+04, 2.696594850738722e+02, 7.965156233818103e-01, -1.412768813058460e-01
2591, 2.943860708695767e-01, 6.319883667083107e-01, -8.057926498770757e-02, 1.343275292192080e+00, 3.181679217493235e+02, 8.114172653606303e+00, -2.892150990040302e+01, 3.046296473031520e+05, 1.066452783257992e+05, 2.757910686524323e+02, 7.136182569748084e-01, 1.333512753050449e-01
2592, 1.261595230271134e+00, 1.469242908925202e+00, 8.883471040452204e-02, 1.257036236362196e+00, 2.733979719372355e+02, -2.063100608949579e+01, -9.937385954257866e+00, 2.834566152914328e+05, 1.014067238744121e+05, 2.802351107688430e+02, 6.494445728950866e-01, 2.048385856595162e-03
2593, 9.584135704160280e-01, 1.380159521652321e+00, 7.431910100865623e-01, 1.265959337944551e+00, 3.279573082162570e+02, -9.275108346507837e+00, 6.424514129269167e+00, 2.890097448965500e+05, 9.859177208672150e+04, 2.705356535479406e+02, 7.850185905322445e-01, -6.850758656132602e-02
2594, 1.266729633344207e+00, 1.517770421854450e+00, -6.581955775723426e-02, 1.293125569066799e+00, 2.908284064131063e+02, 3.662846886949911e+01, -7.745902378427103e-01, 2.922871507520608e+05, 1.036256007340902e+05, 2.783748232617003e+02, 6.767649305440478e-01, 5.766390836565114e-02
2595, 7.421853419789152e-01, 8.230431580558467e-01, 1.319347112968715e-01, 1.080994815277553e+00, 3.199396315300635e+02, -2.113753924151037e+01, -1.332638251431992e+01, 2.500215900809043e+05, 8.095475077699998e+04, 2.601490961583482e+02, 9.168358507209943e-01, -5.105745500186032e-01
2596, 1.220651603287785e+00, 1.017415647902752e+00, -2.966988426957108e-01, 1.315137671026206e+00, 3.249838649192947e+02, 2.610721434136054e+00, 1.211217100193790e+00, 2.990809586639511e+05, 1.035697616278629e+05, 2.735680349879229e+02, 7.442394952820817e-01, 5.626431692112163e-02
2597, 4.258862160207387e-01, 6.733279221992415e-01, 1.245845185327560e-01, 1.116304267256940e+00, 3.313265335865400e+02, -1.539626176360507e+01, 5.765003200541432e+01, 2.586348349902662e+05, 8.314802883218676e+04, 2.587455952177791e+02, 9.339124867353527e-01, -4.556006543223117e-01
2598, 2.862875771006055e-01, 2.877703096569101e-01, 1.385260623997847e-01, 1.114802184255984e+00, 3.351605452953959e+02, -1.277536412186955e+01, 4.262104652663667e+01, 2.584518867122172e+05, 8.287265804270616e+04, 2.582361568508607e+02, 9.401086046510698e-01, -4.625027454743716e-01
2599, 4.003555584599980e-01, 7.945694060848054e-01, -3.151485772004747e-01, 1.294469427646239e+00, 3.213043151677722e+02, 4.953334825374382e+00, -2.437183590542416e+00, 2.944904543786251e+05, 1.018410829086833e+05, 2.732969613349935e+02, 7.480131443498093e-01, 1.293547251133948e-02
2600, 8.961195153065569e-01, 1.536143894693888e-01, 1.210599814136592e-01, 1.258951981818788e+00, 3.119204611818702e+02, -1.685366002602465e+00, -4.032614675144189e+01, 2.865494110011497e+05, 9.890456412230803e+04, 2.729045394438997e+02, 7.533083436918508e-01, -6.066754243272120e-02
2601, 5.587882331547860e-02, 6.852096741377528e-01, -2.482913584799751e-01, 1.323212437749724e+00, 3.145249793736807e+02, 9.091913470976198e+00, 5.092875196322576e+00, 3.000731046018333e+05, 1.050604340978492e+05, 2.758120325092021e+02, 7.133373992829003e-01, 9.362760184004235e-02
2602, -2.861547089557919e-01, 6.659516786414179e-01, -3.772098594690489e-01, 1.305647506282416e+00, 3.154624673772441e+02, 3.557257736238744e+00, 1.055867308015852e+01, 2.964419318778668e+05, 1.033137392747894e+05, 2.748753080136956e+02, 7.263774821398087e-01, 4.984718886912055e-02
2603, 4.048509402214629e-01, 8.523280729811298e-01, -8.422795966094014e-02, 1.290386056979945e+00, 3.012181679981513e+02, 1.193667601982732e+01, -3.930587858496335e+01, 2.924326790948238e+05, 1.026487040491782e+05, 2.763359582456395e+02, 7.059630611390215e-01, 3.317826855568619e-02
2604, 6.307672228690345e+00, 2.015905449184692e+00, -4.368967478409501e+00, 1.288770310557500e+00, 3.203739027775055e+02, 4.026910308469038e-01, 1.060093426235795e+01, 2.932387803563979e+05, 1.013497724391448e+05, 2.731812245460644e+02, 7.496040608372608e-01, 6.209141984843975e-04
2605, -1.865390743778982e-01, 2.351708445233675e+00, -1.529077609212725e+00, 1.290944302902819e+00, 3.200784303235603e+02, 9.327519450977311e-01, 1.105009870088325e+01, 2.936748075357493e+05, 1.015787376184250e+05, 2.733372987596883e+02, 7.474768141420761e-01, 6.359861822597416e-03
2606, -2.287807243651278e-01, 2.239006124551597e-01, -3.077530895889327e-01, 1.321511290534249e+00, 3.142608149189691e+02, 2.574935292008234e+00, 7.582577213685990e+00, 2.996926222532723e+05, 1.049208413727993e+05, 2.758001378121085e+02, 7.135112800775308e-01, 9.012874956788955e-02
2607, 6.259787961781180e-01, 1.298869812013526e+00, 7.600347156546977e-02, 1.230059386944053e+00, 3.156730436422785e+02, 3.523132911805191e+00, 8.128748068222033e+01, 2.813494340734632e+05, 9.526100829634367e+04, 2.690250288561519e+02, 8.048588995444238e-01, -1.519922413082235e-01
2608, -2.341405014408034e+00, 2.214398223901113e+00, 3.625915436637360e+00, 1.288438545556363e+00, 3.204905694758839e+02, 5.897372290453730e-03, 1.136915478982244e+01, 2.931788491357517e+05, 1.013074933762562e+05, 2.731375774295832e+02, 7.501907215539220e-01, -4.387985852545943e-04
2609, 6.167241346272240e-01, 1.441637933061019e+00, -2.678744905555301e-02, 1.370411522979698e+00, 2.985107664910967e+02, 3.038766709786300e+01, 2.082091930359204e+01, 3.091317797103799e+05, 1.104500209863552e+05, 2.799744455311515e+02, 6.533852268843553e-01, 2.287160767163386e-01
2610, 8.393420044217705e-01, 5.367653184277884e-01, 1.209588994806021e-01, 1.186400153691498e+00, 3.146625581959602e+02, -7.370590647818463e+00, -3.229319570122176e+01, 2.715126999260095e+05, 9.172886812669682e+04, 2.685829456309412e+02, 8.105978568848089e-01, -2.405243381901721e-01
