"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
852, 8.095274949308566e-01, -2.107580011227802e-01, 1.236690429341062e-03, -6.341455838748484e-06, -2.603431470563401e-06, 5.061137295971842e-09, 3.017894743410903e-05, 3.262493620968843e-05, 0.000000000000000e+00
853, 6.960121640052376e-01, -4.590441063755105e-02, 7.281992786438611e-04, -4.507026597842153e-06, -2.656743496293071e-07, 1.742353961634800e-09, -1.627313537556478e-05, 1.280753345613763e-04, 0.000000000000000e+00
854, -1.932754137826687e+00, -1.373632488052137e-01, -3.236315750839499e-03, 1.799917139321214e-05, 9.142433213612185e-06, 1.459462647929006e-09, -7.902064476944385e-06, -6.658330823706021e-06, 0.000000000000000e+00
855, -1.619611790297881e+00, 1.097267878285139e+00, 3.041357908435339e-04, -8.400192012331115e-06, -1.735161997804790e-06, -1.407404647701192e-09, 6.479117800359116e-06, -7.274276969146448e-06, 0.000000000000000e+00
856, 1.035080908925702e+00, -1.234244624444392e-01, 3.868702665316044e-05, -3.963054827542284e-07, -5.077543642539118e-06, 6.384502502697122e-10, 8.793961087024398e-07, -4.835473567359365e-05, 0.000000000000000e+00
857, 4.422308124866338e-01, -1.017978140974422e-01, 1.998606999649062e-03, -9.810593413744937e-06, -9.444176165138909e-07, 6.274319498687560e-09, -4.871582476358177e-06, 2.234707337636661e-04, 0.000000000000000e+00
858, 6.187908137549860e-01, 1.355509848578648e-01, -5.068035910594693e-04, 2.596549701125748e-06, 4.430863094300667e-06, -1.076091172248265e-09, 5.042623353166858e-06, 3.436294336643915e-05, 0.000000000000000e+00
859, 9.535415629806901e-02, -1.063859318793582e-01, 2.430745230131346e-03, -1.086296688557762e-05, 6.638828364353353e-06, 7.822366266886410e-09, 1.181419918692908e-03, -3.448452816367340e-04, 0.000000000000000e+00
860, -2.266317061784559e+00, 7.922376009733276e-01, -4.368533749365118e-03, 2.011587678773776e-05, -8.026627829391398e-06, -5.415164338715919e-09, 2.317148318437725e-06, 6.615698841864923e-06, 0.000000000000000e+00
861, -3.915758427223986e-01, 2.497285477644741e-01, -5.181137209967013e-03, 3.258002401478966e-05, -4.857395162611293e-06, -8.318439102362095e-09, 5.132303814853888e-05, 1.865049681038222e-04, 0.000000000000000e+00
862, 6.919629173624500e-01, -5.941270404464639e-01, 2.075371530206537e-03, -1.044562048036889e-05, -3.957430741847515e-06, 8.537902950078504e-09, -3.800749805743336e-05, -5.306002578374247e-06, 0.000000000000000e+00
863, 5.620252579926067e-01, -8.247202303749955e-02, 1.179296432672839e-03, -5.973567254937720e-06, -1.765285125234498e-06, 4.614937634066668e-09, 5.516203001924090e-05, 1.691779185369494e-04, 0.000000000000000e+00
864, 1.543146072906709e+00, 3.056808373117098e-01, -1.470262314065859e-03, 5.358559045885992e-06, -4.135749508513834e-07, -3.102754983031753e-09, 4.019850185112659e-05, -8.989818778874340e-06, 0.000000000000000e+00
865, 1.658502508332732e+00, 3.994818089629149e-01, -1.543138445058887e-03, 5.527923281574758e-06, -3.975862910016239e-07, -3.391642144387359e-09, 8.638188775153701e-06, -1.290409220880168e-05, 0.000000000000000e+00
866, 1.062668985961649e-01, -1.235473081567765e+00, 1.220335188212254e-03, -7.562644522815797e-06, 4.208415519592632e-06, 6.737082075745919e-09, -2.086714757235604e-05, 4.860117664593598e-06, 0.000000000000000e+00
867, 8.766168559182528e-01, 1.776132009387313e-01, -2.134068878150707e-03, 9.654617001060208e-06, 4.261329490682673e-06, -7.366534469999681e-09, -8.078320268709558e-05, 3.404513180491375e-05, 0.000000000000000e+00
868, 9.728411663839495e-01, 3.983269695191165e-02, -2.140574421699161e-03, 1.167699211598339e-05, 2.063079763748689e-05, 1.009407997793871e-08, -9.072345560301978e-04, -2.993412207653598e-03, 0.000000000000000e+00
869, 5.420022207105628e-01, -1.567976243908354e-01, 1.456363393829451e-03, -6.757181383006419e-06, -1.726670079156849e-06, 6.771204524145399e-09, -1.885950381363690e-05, 1.646755416083033e-04, 0.000000000000000e+00
870, 2.157757977155976e-01, -1.468500078777294e-01, 3.173326763099856e-03, -1.452641966302713e-05, 2.345075526120725e-06, 9.540641711747698e-09, -4.534113271965269e-05, 4.000740543052752e-04, 0.000000000000000e+00
871, 6.265000053125415e-01, -1.560735561831671e-01, 1.496669731470735e-03, -7.344883875768676e-06, -2.122263963445748e-06, 6.328849317248830e-09, -2.355153312041827e-06, 4.040041191829734e-05, 0.000000000000000e+00
872, 1.140198343825642e+00, 9.606587317873317e-01, -3.559452748823505e-03, 1.337515435140707e-05, 4.628652544770268e-06, -8.637699010709546e-09, 3.104042924740880e-05, -1.869724130405488e-05, 0.000000000000000e+00
873, 7.363581551089189e-01, -4.359256267376323e-02, 7.315900411103310e-04, -4.365664919655525e-06, -3.003005669072440e-07, 1.673588102707117e-09, -1.895922605837760e-05, 1.376704321238013e-04, 0.000000000000000e+00
874, 4.816387202916727e-01, -4.079514831155678e-02, 1.079634935614058e-03, -7.237517897250623e-06, -3.768295512137827e-06, 7.381938504032134e-09, 7.697339045874730e-07, 1.229626729104630e-04, 0.000000000000000e+00
875, 2.146234250646626e+00, 2.360365507613496e+00, -3.138639542675057e-03, 6.968118332649863e-06, 2.380952136928523e-06, -1.270176848725100e-09, 1.436392488301426e-06, -6.362589630390692e-07, 0.000000000000000e+00
876, -3.716841595734817e+00, 1.131086158370299e+00, -2.511138488516388e-03, 4.030302502478845e-06, -1.191353176897316e-06, 7.666856958313858e-09, 6.428166683377280e-07, 9.735943638275015e-07, 0.000000000000000e+00
877, 1.024941118086767e+00, 1.021565257442008e-01, -2.366971474122333e-03, 1.076069095642725e-05, -3.465557791631393e-06, -8.550728204356657e-09, 5.199962565962158e-05, -2.486729509532882e-04, 0.000000000000000e+00
878, 6.964373621550063e-01, 1.026710961180770e-01, -7.492401831742829e-04, 4.524111834623735e-06, -4.884221957267782e-07, -5.525718779131968e-09, -2.149515310155559e-05, 2.894946247988285e-05, 0.000000000000000e+00
879, 4.064001246855904e-01, -1.548772904221187e-01, 1.873372737925940e-03, -8.605646470274437e-06, -1.681178138702063e-06, 7.771982067351725e-09, -6.804429560014709e-05, 1.175117501378373e-04, 0.000000000000000e+00
