"VARIABLE"      , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "FINDIFF_STEP"  
0               , -4.27739999999538, 6170.8999999865455, -4.7296000000012635, -2.01168999999779, 12.875000000023284, 13.032000000245958, 8.632000000341478, 27.68079999992956, 1.9880100000013377, -2.01168999999779, 1e-07           
1               , -0.8208999999897992, 2489.4999999958145, -1.6845599999995575, -2.945399999992188, 24.718999999673308, 24.763000000538327, 16.95400000001346, 24.125099999938726, 1.1955699999975644, -2.945399999992188, 1e-07           
2               , 2.5718000000105046, -1515.9000000153355, 1.537670000001032, -1.7467099999897429, 29.658999999848668, 29.586999999997587, 20.32200000001705, 7.8488999999404285, -0.05860999999999367, -1.7467099999897429, 1e-07           
3               , 2.83119999999748, -1524.1999999915379, 1.6067100000027175, 0.14534000000038239, 35.11399999989173, 35.03700000018206, 22.86000000017996, -6.323700000032684, -0.181060000000767, 0.14534000000038239, 1e-07           
4               , 2.273099999998418, -47.00000001633953, 0.5895400000035383, 1.7480999999971991, 48.250999999943645, 48.20100000024752, 28.861000000435233, -18.535000000097224, 0.33485999999770255, 1.7480999999971991, 1e-07           
5               , 3.610999999986708, -54.20000000810887, 0.9243800000013208, 2.9202500000102827, 76.998999999911 , 76.91900000050822, 42.49499999997575, -35.0751000000038, 0.6300899999976337, 2.9202500000102827, 1e-07           
6               , 7.237600000015165, -1849.199999988116, 2.888870000005567, 3.7067300000075134, 124.6589999998049, 124.48200000014786, 64.87500000040836, -59.90060000002351, 0.4203099999988691, 3.7067300000075134, 1e-07           
7               , 1.69059999999277, 142.20000000619848, 0.33302000000505483, 3.247500000008036, 38.906000000005214, 38.87000000035723, 11.582000000176507, -40.25130000001598, 1.7329600000013172, 3.247500000008036, 1e-07           
8               , -34.865299999992104, 15409.200000000568, -17.783709999998415, -0.09904000000324209, -489.76000000033883, -488.84199999987834, -282.79799999975097, 141.9710000000185, 8.394619999997632, -0.09904000000324209, 1e-07           
9               , -5.242599999989717, 7532.599999997558, -5.778489999995126, -0.4066599999970333, 15.25499999988078, 15.44800000030655, 11.235000000331397, 34.494099999948794, 2.729859999999092, -0.4066599999970333, 1e-07           
10              , -1.0342999999871094, 3105.0999999848727, -2.103659999998925, -0.6030599999928832, 30.605999999933076, 30.660000000515275, 22.23900000042356, 30.163899999990917, 1.2059599999994162, -0.6030599999928832, 1e-07           
11              , 3.230799999996703, -1918.2000000128596, 1.9399299999982995, -0.36550999999232503, 37.02299999963632, 36.93200000043362, 26.696000000048237, 9.877700000021639, -0.6924200000001102, -0.36550999999232503, 1e-07           
12              , 3.5668000000071975, -1945.499999997935, 2.0392400000047997, 0.043670000011986065, 43.80699999972926, 43.710000000030114, 30.131000000044317, -7.841700000038587, -0.905010000000657, 0.043670000011986065, 1e-07           
13              , 2.8923999999957983, -130.7999999866638, 0.7924700000036533, 0.453430000005306, 60.18499999982385, 60.11999999999684, 38.502999999967535, -23.17190000003522, -0.4163100000018419, 0.453430000005306, 1e-07           
14              , 4.582800000006715, -167.10000000585978, 1.2317000000049845, 0.8546200000111859, 96.04399999973978, 95.94200000018205, 57.76000000012882, -43.92059999996923, -0.5236800000021566, 0.8546200000111859, 1e-07           
15              , 9.126500000004867, -2425.099999996405, 3.69836999999755, 1.2401900000014177, 155.6019999998659, 155.37800000020584, 89.81800000029683, -75.0442999999934, -1.4584300000010724, 1.2401900000014177, 1e-07           
16              , 2.1832000000193696, 93.5999999995829, 0.4836699999972299, 0.7669100000017026, 48.70699999992567, 48.660000000477766, 19.64600000015082, -50.550799999965484, 0.26603999999947475, 0.7669100000017026, 1e-07           
17              , -43.80019999999929, 19481.100000007245, -22.41372999999859, -2.1794399999996994, -613.1920000002067, -612.0359999994829, -381.77299999997416, 178.35059999998794, 11.06030000000164, -2.1794399999996994, 1e-07           
18              , -5.302499999984556, 7565.199999994832, -5.812700000001545, -0.05741999998740144, 14.517999999963394, 14.712000000471903, 11.211000000010962, 35.02850000003388, 3.2883600000008926, -0.05741999998740144, 1e-07           
19              , -1.024500000008921, 3083.6000000178387, -2.0884999999987857, -0.06054999999657862, 30.450999999875883, 30.505000000458082, 23.123000000291327, 30.64109999992293, 1.2590599999997427, -0.06054999999657862, 1e-07           
20              , 3.2663999999932303, -1941.0000000164018, 1.9623199999999064, -0.06993999998941569, 37.399999999743194, 37.30899999998538, 28.263000000361416, 10.07439999992088, -1.070920000001245, -0.06993999998941569, 1e-07           
21              , 3.6225000000014718, -1990.4999999909023, 2.0797100000035513, -0.0632099999946234, 44.24199999963907, 44.14300000032956, 32.3500000004584, -7.9028999999675165, -1.2793700000009873, -0.0632099999946234, 1e-07           
22              , 3.004000000000895, -245.59999999951287, 0.888370000002095, 0.024480000006266156, 60.63599999994729, 60.56800000042717, 42.24200000013667, -23.54590000003265, -0.7129600000004358, 0.024480000006266156, 1e-07           
23              , 4.759099999987471, -334.6000000092886, 1.3749800000049246, 0.22470999999982255, 96.99299999998968, 96.88600000001824, 65.10400000048212, -44.77410000008897, -0.9826499999983362, 0.22470999999982255, 1e-07           
24              , 9.369700000004533, -2614.600000008238, 3.871210000000805, 0.5063200000064716, 157.61999999974742, 157.38800000053567, 103.4430000002029, -76.59800000003881, -2.310220000001882, 0.5063200000064716, 1e-07           
