"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
494, -1.324165558064123e+00, -7.159850343520054e-01, 1.300920583181422e+00, 3.183374630111215e+02, 1.186865842332134e+01, 2.957173631632953e+05, 1.026857461266348e+05, 2.741971712813028e+02, 7.366223520924902e-01, 3.410671777700616e-02
495, 2.287436503856912e+00, 1.917892776142049e+00, 1.282548918344260e+00, 3.220285219511507e+02, 5.320980248570105e+00, 2.920879653185127e+05, 1.006594784725637e+05, 2.726367081542788e+02, 7.575744007954451e-01, -1.668110933148496e-02
496, 4.213948918385793e+00, -2.439452306292568e+00, 1.290508948629851e+00, 3.204267401026716e+02, 8.488728346369555e+00, 2.936535589654923e+05, 1.015381935472499e+05, 2.733203728497260e+02, 7.483794484321391e-01, 5.343636116690215e-03
497, 3.471251192039618e+00, -2.005097355004403e+00, 1.291846619804352e+00, 3.202307962170503e+02, 8.074565891526014e+00, 2.939306942064200e+05, 1.016860323826912e+05, 2.734348975301878e+02, 7.469662253871461e-01, 9.049174819451784e-03
498, 3.454602374161386e+00, -1.227357167014758e+00, 1.291582257257517e+00, 3.209947719207759e+02, 7.544818000607515e+00, 2.939344833788357e+05, 1.016097202466529e+05, 2.732856182974229e+02, 7.490748404446299e-01, 7.136432658460476e-03
499, 3.474763881937558e+00, -2.794946544936284e+00, 1.292522059641116e+00, 3.200292719035708e+02, 8.450319373820269e+00, 2.940422311482203e+05, 1.017579534171016e+05, 2.734853026782068e+02, 7.460601914288554e-01, 1.085185525693311e-02
500, 2.750747789097075e+00, -2.327413655798068e+00, 1.294108971006058e+00, 3.197794332981562e+02, 8.057874499897137e+00, 2.943691192761775e+05, 1.019338611446615e+05, 2.736221301157312e+02, 7.443542686123447e-01, 1.526093282198719e-02
501, 2.724598936987825e+00, -3.181530472031095e+00, 1.294353159219108e+00, 3.196746383795247e+02, 8.435191994558611e+00, 2.943974298854439e+05, 1.019575616267579e+05, 2.736341169560869e+02, 7.439764517184015e-01, 1.585497871947041e-02
502, 2.155744587721535e+00, -2.788736073193422e+00, 1.295524767765057e+00, 3.194625849182824e+02, 8.287185583751951e+00, 2.946352858337241e+05, 1.020882990980544e+05, 2.737372122321219e+02, 7.426620235946192e-01, 1.913187655449444e-02
503, 2.879123338510942e+00, -1.615845461055768e+00, 1.293294530045452e+00, 3.200273948054533e+02, 7.646235092572540e+00, 2.942243051654245e+05, 1.018424427409483e+05, 2.735488913545466e+02, 7.454764647591272e-01, 1.296955632343368e-02
504, 2.567728140876614e+00, -4.094431792756298e+00, 1.294966404067931e+00, 3.197434092829060e+02, 8.732483282580883e+00, 2.945573654477085e+05, 1.020214390939977e+05, 2.736758880863644e+02, 7.437457837971178e-01, 1.745604941503371e-02
505, 2.086177621863815e+00, -2.129722964942618e+00, 1.296074395711718e+00, 3.194226776117957e+02, 7.985233041174794e+00, 2.947611515387219e+05, 1.021500237934655e+05, 2.737865651269776e+02, 7.421696486931071e-01, 2.067898863150247e-02
506, 1.626940611169681e+00, -2.460964517451517e+00, 1.296647077573278e+00, 3.192589349402934e+02, 8.353130370579473e+00, 2.948653255169083e+05, 1.022138551582454e+05, 2.738366513641005e+02, 7.414158485195006e-01, 2.227890378191588e-02
507, 1.517480243892358e+00, -3.158932732907416e+00, 1.296165493358675e+00, 3.192970909813512e+02, 8.548985038411962e+00, 2.947526380692780e+05, 1.021586646183188e+05, 2.737904806002128e+02, 7.418544783505356e-01, 2.089556846874241e-02
508, 1.241652693157854e+00, -5.347320576897951e-01, 1.310184922914048e+00, 3.164112618623385e+02, 8.323601532537316e+00, 2.975238384242582e+05, 1.037162180335577e+05, 2.749904848808844e+02, 7.256855884683976e-01, 5.993520541229182e-02
509, 1.028181539741634e+00, -5.330100099639926e-01, 1.309854381031366e+00, 3.163101336276748e+02, 1.123980727785405e+01, 2.974535133038015e+05, 1.036852876226476e+05, 2.749778499746122e+02, 7.258602673079140e-01, 5.915994338876893e-02
510, 8.267146720431213e-01, 8.469624790286200e-01, 1.240448631790990e+00, 3.284176570842079e+02, -6.670778057121196e+00, 2.837635805496363e+05, 9.610807226488800e+04, 2.691439823208004e+02, 8.040493881653160e-01, -1.307608219062375e-01
511, 1.018126824260771e+00, 8.620506314379839e-01, 1.263356623401616e+00, 3.249444300334100e+02, -4.865171301924863e+00, 2.882900308439195e+05, 9.859665526210153e+04, 2.711064268304414e+02, 7.782151471983879e-01, -6.838519114804324e-02
