"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    
          0,           0,          68,      -1.656426935,      -4.639658145,      -4.931452737,                 0,      -7.112890914
          0,           0,          69,      -1.656813794,      -4.640873455,      -4.933843255,                 0,      -7.113175351
          0,           0,          70,      -1.655654277,      -4.638087145,      -4.930593511,                 0,      -7.112154974
          0,           0,          71,      -1.656580267,      -4.640231194,      -4.933444753,                 0,      -7.113008269
          0,           0,          72,      -1.655768302,      -4.638003596,      -4.930426009,                 0,      -7.112381344
          0,           0,          73,       -1.65686688,      -4.640393352,      -4.933440249,                 0,      -7.113424937
          0,           0,          74,      -1.656076219,      -4.638216162,      -4.930485255,                 0,      -7.112805817
          0,           0,          75,      -1.657150778,      -4.640596456,      -4.933543161,                 0,      -7.113797312
          0,           0,          76,      -1.656304109,      -4.638402975,      -4.930619839,                 0,      -7.113089563
          0,           0,          77,      -1.657338539,      -4.640769984,      -4.933684632,                 0,      -7.114013977
          0,           0,          78,      -1.656461822,      -4.638570965,      -4.930776312,                 0,      -7.113254621
          0,           0,          79,      -1.657479867,      -4.640922491,      -4.933833102,                 0,      -7.114147901
          0,           0,          80,      -1.656603631,      -4.638713016,      -4.930925087,                 0,      -7.113379651
          0,           0,          81,      -1.657625626,      -4.641050365,      -4.933971718,                 0,      -7.114272141
          0,           0,          82,      -1.656762125,      -4.638831045,      -4.931054313,                 0,      -7.113516335
          0,           0,          83,      -1.657792152,      -4.641159204,      -4.934086648,                 0,      -7.114419287
          0,           0,          84,      -1.656932977,      -4.638928014,      -4.931150581,                 0,      -7.113673016
          0,           0,          85,      -1.657959526,      -4.641244281,      -4.934162017,                 0,      -7.114578307
          0,           0,          86,      -1.657085713,       -4.63899507,      -4.931202949,                 0,      -7.113823583
          0,           0,          87,       -1.65809247,      -4.641294079,      -4.934191777,                 0,      -7.114714215
          0,           0,          88,       -1.65718841,      -4.639024397,      -4.931213197,                 0,      -7.113932838
          0,           0,          89,      -1.658165345,      -4.641305483,      -4.934184527,                 0,      -7.114795697
          0,           0,          90,      -1.657227389,      -4.639019751,      -4.931195404,                 0,      -7.113980335
          0,           0,          91,      -1.658175771,      -4.641288202,      -4.934158631,                 0,      -7.114813519
          0,           0,          92,      -1.657212767,      -4.638995325,      -4.931169011,                 0,      -7.113970431
          0,           0,          93,      -1.658143472,      -4.641259618,      -4.934133675,                 0,      -7.114783136
          0,           0,          94,      -1.657171122,      -4.638968681,      -4.931150604,                 0,      -7.113927465
          0,           0,          95,       -1.65809857,      -4.641236523,      -4.934122648,                 0,      -7.114734288
