"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0.134,0.000153977,236502,-31678.7,19160.4,623841,210752,52189.7,977184
0.136,0.000158537,236006,-33184.6,17375.4,620642,209670,51827.3,978849
0.138,0.000163108,235509,-34690.5,15590.4,617444,208588,51464.8,980514
0.14,0.000167689,235013,-36196.4,13805.5,614245,207505,51102.3,982180
0.142,0.00017228,234516,-37702.3,12020.5,611047,206423,50739.9,983845
0.144,0.000176879,234020,-39208.2,10235.6,607848,205341,50377.4,985510
0.146,0.000181487,233523,-40714.1,8450.58,604650,204259,50015,987176
0.148,0.000186102,233027,-42220,6665.62,601451,203177,49652.5,988841
0.15,0.000190724,232530,-43725.9,4880.65,598252,202095,49290.1,990506
0.152,0.000195352,232034,-45231.8,3095.7,595054,201013,48927.6,992171
0.154,0.000199987,231537,-46737.7,1310.73,591855,199931,48565.2,993837
0.156,0.000204627,231041,-48243.6,-474.238,588657,198848,48202.7,995502
0.158,0.000209272,230544,-49749.5,-2259.21,585458,197766,47840.2,997167
0.16,0.000213922,230048,-51255.4,-4044.16,582260,196684,47477.8,998832
0.162,0.000218577,229551,-52761.3,-5829.13,579061,195602,47115.3,1.0005e+06
0.164,0.000223236,229055,-54267.2,-7614.09,575862,194520,46752.9,1.00216e+06
0.166,0.000227899,228558,-55773.1,-9399.05,572664,193438,46390.4,1.00383e+06
0.168,0.000232566,228062,-57279,-11184,569465,192356,46028,1.00549e+06
0.17,0.000237237,227565,-58784.9,-12969,566267,191274,45665.5,1.00716e+06
0.172,0.00024191,227069,-60290.8,-14754,563068,190191,45303.1,1.00882e+06
0.174,0.000246486,228827,-61314.4,-13084.7,569145,189159,44694.7,1.00717e+06
0.176,0.00025101,231818,-62074.6,-9527.94,580290,188153,43951.9,1.0037e+06
0.178,0.000256066,232071,-61971.8,-11105.4,581853,186531,45501.6,991593
0.18,0.00026163,230835,-61228.2,-17079.3,577798,184323,49691.8,974735
0.182,0.000267511,240587,-62015.7,-20528.2,607613,181769,60391.1,992087
0.184,0.000273393,250340,-62803.2,-23977.1,637429,179215,71090.5,1.00944e+06
0.186,0.000279276,260092,-63590.7,-27426,667244,176660,81789.9,1.02679e+06
0.188,0.000285159,269845,-64378.2,-30874.9,697059,174106,92489.3,1.04414e+06
0.19,0.000291044,279597,-65165.7,-34323.8,726874,171552,103189,1.0615e+06
0.192,0.000296928,289349,-65953.2,-37772.7,756689,168997,113888,1.07885e+06
0.194,0.000302814,299102,-66740.6,-41221.6,786504,166443,124587,1.0962e+06
0.196,0.0003087,308854,-67528.1,-44670.4,816319,163889,135287,1.11355e+06
0.198,0.000314795,312875,-66420.8,-45043.7,824741,161289,139172,1.11165e+06
0.2,0.000320968,314815,-64625.1,-44299.4,825389,158673,140580,1.10275e+06
0.202,0.000327144,316754,-62829.3,-43555.2,826038,156056,141989,1.09385e+06
0.204,0.000333324,318693,-61033.6,-42810.9,826686,153440,143398,1.08496e+06
0.206,0.000339507,320632,-59237.8,-42066.7,827335,150824,144807,1.07606e+06
0.208,0.000345693,322572,-57442.1,-41322.4,827983,148208,146215,1.06716e+06
0.21,0.000351881,324511,-55646.4,-40578.2,828632,145591,147624,1.05826e+06
0.212,0.000358072,326450,-53850.6,-39834,829280,142975,149033,1.04936e+06
0.214,0.000364266,328389,-52054.9,-39089.7,829929,140359,150442,1.04046e+06
0.216,0.000370462,330329,-50259.1,-38345.5,830577,137743,151851,1.03156e+06
0.218,0.00037666,332268,-48463.4,-37601.3,831226,135126,153259,1.02267e+06
0.22,0.000382861,334207,-46667.7,-36857,831874,132510,154668,1.01377e+06
0.222,0.000389063,336146,-44871.9,-36112.8,832523,129894,156077,1.00487e+06
0.224,0.000395267,338086,-43076.2,-35368.5,833171,127278,157486,995970
0.226,0.000401924,326516,-40288.1,-28029.9,815602,124564,151914,985036
0.228,0.000408591,314629,-37476.8,-20536.5,797605,121849,146179,974053
0.23,0.000415258,302743,-34665.4,-13043,779608,119133,140444,963070
0.232,0.000421926,290856,-31854.1,-5549.6,761611,116418,134709,952088
0.234,0.000428594,278969,-29042.7,1943.85,743614,113702,128973,941105
0.236,0.000435263,267083,-26231.4,9437.3,725617,110986,123238,930122
0.238,0.000441932,255196,-23420,16930.8,707621,108271,117503,919140
0.24,0.000448844,252721,-23108.8,22081.1,701716,107338,116717,932288
0.242,0.000455811,252280,-23338.1,26724.9,698425,106791,117000,950653
0.244,0.00046278,251839,-23567.3,31368.7,695134,106244,117283,969017
0.246,0.000469751,251399,-23796.6,36012.6,691843,105697,117567,987382
0.248,0.000476723,250958,-24025.8,40656.4,688552,105150,117850,1.00575e+06
0.25,0.000483697,250517,-24255.1,45300.2,685261,104603,118134,1.02411e+06
0.252,0.000490674,250077,-24484.3,49944,681970,104056,118417,1.04248e+06
0.254,0.000497651,249636,-24713.6,54587.8,678679,103509,118700,1.06084e+06
0.256,0.00050463,249196,-24942.8,59231.7,675388,102961,118984,1.07921e+06
0.258,0.000511611,248755,-25172.1,63875.4,672097,102414,119267,1.09757e+06
0.26,0.000518593,248314,-25401.3,68519.3,668806,101867,119551,1.11594e+06
0.262,0.000525962,243207,-23259.3,70953,664835,105673,119325,1.12488e+06
0.264,0.000533407,237185,-20652.7,72953.8,660730,110331,119000,1.13197e+06
0.266,0.000540853,231163,-18046.1,74954.5,656624,114989,118674,1.13907e+06
0.268,0.000548299,225141,-15439.5,76955.2,652519,119647,118349,1.14616e+06
0.27,0.000555745,219120,-12832.9,78955.9,648414,124305,118024,1.15326e+06
0.272,0.000563191,213098,-10226.3,80956.6,644309,128963,117698,1.16035e+06
0.274,0.000570717,208192,-7444.64,82420.5,640302,133099,117441,1.1656e+06
0.276,0.000578617,208461,-3851.51,81395.8,636747,134815,117497,1.16232e+06
0.278,0.000586518,208729,-258.382,80371.1,633193,136531,117553,1.15904e+06
0.28,0.000594419,208998,3334.75,79346.3,629638,138246,117610,1.15576e+06
0.282,0.00060264,215104,6250.96,76419.3,639240,135585,116208,1.13747e+06
0.284,0.000610984,223468,8905.33,72756.3,653930,131230,114242,1.11337e+06
0.286,0.000619329,231832,11559.7,69093.4,668621,126875,112277,1.08927e+06
0.288,0.000627674,240196,14214,65430.4,683311,122521,110311,1.06518e+06
0.29,0.000636019,248560,16868.4,61767.5,698001,118166,108345,1.04108e+06
0.292,0.000644364,256924,19522.8,58104.5,712692,113811,106380,1.01698e+06
0.294,0.000652794,260766,19244.9,54181,726817,113229,105940,999656
0.296,0.000661238,263873,18489.6,50215.1,740849,113261,105748,983432
0.298,0.000669684,266979,17734.3,46249.2,754882,113292,105557,967208
0.3,0.000678132,270086,16979.1,42283.3,768915,113324,105365,950984
0.302,0.000686581,273193,16223.8,38317.4,782948,113356,105173,934760
0.304,0.000695031,276299,15468.6,34351.5,796981,113387,104982,918536
0.306,0.000703482,279406,14713.3,30385.6,811014,113419,104790,902311
0.308,0.000711935,282513,13958,26419.6,825046,113451,104599,886087
0.31,0.000720388,285619,13202.8,22453.7,839079,113483,104407,869863
0.312,0.000728859,288687,12371.5,18257.2,852523,113529,104361,853989
0.314,0.000737753,290684,9444.49,7700.61,849707,113978,108334,847784
0.316,0.000746648,292680,6517.46,-2855.97,846891,114427,112306,841579
0.318,0.000755543,294677,3590.48,-13412.4,844075,114877,116278,835373
0.32,0.000764439,296674,663.461,-23969,841259,115326,120250,829168
0.322,0.000773335,298670,-2263.56,-34525.6,838444,115775,124222,822963
0.324,0.00078223,300667,-5190.58,-45082.2,835628,116225,128195,816757
0.326,0.000791148,302154,-7898,-54454,831261,116473,131985,812952
0.328,0.00080026,299177,-8683.12,-53455.2,813313,114958,134184,830156
0.33,0.000809373,296200,-9468.23,-52456.4,795366,113444,136384,847359
0.332,0.000818487,293223,-10253.3,-51457.6,777418,111930,138583,864562
0.334,0.000827602,290246,-11038.5,-50458.8,759471,110415,140782,881766
0.336,0.000836717,287270,-11823.6,-49460,741524,108901,142981,898969
0.338,0.000845834,284293,-12608.7,-48461.2,723576,107387,145181,916173
0.34,0.000854952,281316,-13393.8,-47462.4,705629,105872,147380,933376
0.342,0.00086407,278339,-14178.9,-46463.6,687681,104358,149579,950580
0.344,0.000873189,275362,-14964,-45464.8,669734,102844,151778,967783
0.346,0.000882309,272386,-15749.1,-44466,651787,101329,153977,984987
0.348,0.000891606,266608,-16022.8,-41932.4,633797,100313,153242,989749
0.35,0.00090122,255790,-15375.9,-36636.8,615732,100191,147226,972123
0.352,0.000910835,244973,-14729.1,-31341.2,597667,100069,141211,954497
0.354,0.00092045,234155,-14082.3,-26045.7,579602,99947.5,135195,936872
0.356,0.000930064,223338,-13435.5,-20750.1,561537,99825.8,129179,919246
0.358,0.000939679,212520,-12788.7,-15454.5,543472,99704.1,123163,901620
0.36,0.000949294,201702,-12141.9,-10159,525407,99582.4,117147,883994
0.362,0.000958909,190885,-11495.1,-4863.5,507342,99460.7,111131,866369
0.364,0.0009687,189782,-11559.1,-3528.65,510513,97703.4,109339,858488
0.366,0.000978524,190466,-11753.9,-2922.4,517591,95645.2,108323,852400
0.368,0.00098835,191150,-11948.7,-2316.15,524669,93587,107307,846311
0.37,0.000998176,191835,-12143.5,-1709.9,531746,91528.8,106291,840223
0.372,0.001008,192519,-12338.3,-1103.65,538824,89470.6,105275,834135
0.374,0.00101783,193203,-12533,-497.399,545902,87412.4,104259,828046
0.376,0.00102766,193887,-12727.8,108.842,552979,85354.3,103243,821958
0.378,0.00103749,194571,-12922.6,715.092,560057,83296.1,102227,815870
0.38,0.00104732,195255,-13117.4,1321.34,567135,81237.9,101211,809781
0.382,0.00105717,196643,-13420.8,1812.47,577085,79665.2,100828,801125
0.384,0.00106706,200346,-14082,1924.41,596495,79691.4,102530,784013
0.386,0.00107696,204049,-14743.1,2036.36,615905,79717.5,104232,766900
0.388,0.00108686,207752,-15404.3,2148.31,635315,79743.7,105935,749788
0.39,0.00109676,211455,-16065.4,2260.25,654724,79769.9,107637,732676
0.392,0.00110665,215158,-16726.6,2372.2,674134,79796.1,109339,715563
0.394,0.00111678,217223,-17031.9,2972.31,688464,80245.6,111670,701332
0.396,0.00112736,215921,-16606,4575.67,692352,81564.8,115292,693023
0.398,0.00113794,214618,-16180.1,6179.02,696240,82884,118913,684713
0.4,0.00114852,213316,-15754.2,7782.38,700128,84203.3,122535,676404
0.402,0.00115911,212014,-15328.3,9385.73,704017,85522.5,126157,668094
