"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0,0,1.20387e+06,-69292.7,-6641.24,2.42193e+06,480496,1.03797e+06,1.559e+06
0.002,1.84374e-06,1.14394e+06,-63318.7,-5799.19,2.33297e+06,450450,957937,1.52179e+06
0.004,2.99161e-06,1.11133e+06,-60803.9,-4789.82,2.27702e+06,433185,919473,1.49679e+06
0.006,3.95675e-06,1.08765e+06,-59419,-3725.8,2.23186e+06,420094,894588,1.47579e+06
0.008,4.94539e-06,1.06397e+06,-58034.1,-2661.77,2.1867e+06,407004,869703,1.45478e+06
0.01,5.94582e-06,1.04029e+06,-56649.2,-1597.74,2.14154e+06,393914,844819,1.43377e+06
0.012,6.95296e-06,1.01661e+06,-55264.3,-533.711,2.09638e+06,380824,819934,1.41277e+06
0.014,7.96426e-06,992930,-53879.4,530.318,2.05122e+06,367734,795049,1.39176e+06
0.016,8.94413e-06,969237,-52077.3,1745.91,2.00492e+06,355613,771581,1.37097e+06
0.018,9.83931e-06,945514,-49223.4,3343.6,1.95575e+06,345937,751685,1.35069e+06
0.02,1.07353e-05,921791,-46369.5,4941.3,1.90657e+06,336260,731788,1.33042e+06
0.022,1.1632e-05,898068,-43515.6,6538.99,1.8574e+06,326584,711891,1.31015e+06
0.024,1.25292e-05,874345,-40661.6,8136.68,1.80823e+06,316907,691995,1.28987e+06
0.026,1.34267e-05,850622,-37807.7,9734.38,1.75905e+06,307231,672098,1.2696e+06
0.028,1.43246e-05,826899,-34953.8,11332.1,1.70988e+06,297554,652202,1.24933e+06
0.03,1.52228e-05,803176,-32099.9,12929.8,1.66071e+06,287878,632305,1.22905e+06
0.032,1.61212e-05,779453,-29246,14527.5,1.61153e+06,278202,612408,1.20878e+06
0.034,1.70198e-05,755730,-26392.1,16125.2,1.56236e+06,268525,592512,1.18851e+06
0.036,1.79186e-05,732008,-23538.2,17722.8,1.51319e+06,258849,572615,1.16823e+06
0.038,1.88175e-05,708285,-20684.3,19320.5,1.46401e+06,249172,552719,1.14796e+06
0.04,1.97165e-05,684562,-17830.4,20918.2,1.41484e+06,239496,532822,1.12769e+06
0.042,2.06156e-05,660839,-14976.5,22515.9,1.36567e+06,229819,512925,1.10741e+06
0.044,2.15148e-05,637116,-12122.6,24113.6,1.31649e+06,220143,493029,1.08714e+06
0.046,2.24141e-05,613393,-9268.71,25711.3,1.26732e+06,210466,473132,1.06687e+06
0.048,2.33134e-05,589670,-6414.81,27309,1.21814e+06,200790,453235,1.04659e+06
0.05,2.52372e-05,562260,-4241.47,29788.6,1.18313e+06,195514,421313,1.04631e+06
0.052,2.75318e-05,533520,-2313.59,32586.3,1.15322e+06,191826,385054,1.05323e+06
0.054,2.98278e-05,504780,-385.699,35384,1.12331e+06,188138,348794,1.06016e+06
0.056,3.21249e-05,476040,1542.19,38181.7,1.0934e+06,184449,312535,1.06709e+06
0.058,3.44229e-05,447301,3470.07,40979.4,1.06349e+06,180761,276275,1.07401e+06
0.06,3.67216e-05,418561,5397.96,43777.1,1.03357e+06,177073,240016,1.08094e+06
0.062,3.90209e-05,389821,7325.84,46574.8,1.00366e+06,173385,203756,1.08786e+06
0.064,4.12381e-05,385787,6707.35,46625.2,997553,176862,201269,1.08993e+06
0.066,4.34823e-05,383551,5903.59,46475.7,993175,180861,201238,1.09165e+06
0.068,4.57558e-05,381314,5099.84,46326.2,988796,184860,201207,1.09337e+06
0.07,4.80544e-05,379077,4296.08,46176.7,984417,188859,201176,1.09508e+06
0.072,5.03701e-05,374102,1715.92,46335.5,976126,187778,190512,1.09494e+06
0.074,5.26962e-05,368685,-1150.84,46543.9,967205,185878,178133,1.0945e+06
0.076,5.50315e-05,363268,-4017.58,46752.4,958283,183978,165754,1.09405e+06
0.078,5.73749e-05,357851,-6884.34,46960.8,949361,182078,153375,1.09361e+06
0.08,5.97254e-05,352435,-9751.09,47169.3,940439,180177,140996,1.09316e+06
0.082,6.20822e-05,347018,-12617.8,47377.7,931517,178277,128617,1.09272e+06
0.084,6.44447e-05,341601,-15484.6,47586.2,922595,176377,116238,1.09227e+06
0.086,6.68122e-05,336184,-18351.4,47794.6,913674,174477,103859,1.09183e+06
0.088,6.91845e-05,331978,-20903.9,47757.5,906297,173309,93251.7,1.09277e+06
0.09,7.15656e-05,334300,-21763,46397,907246,176086,92193.2,1.10121e+06
0.092,7.39544e-05,336622,-22622.1,45036.5,908195,178862,91134.6,1.10964e+06
0.094,7.63503e-05,338944,-23481.2,43675.9,909144,181639,90076.1,1.11808e+06
0.096,7.87527e-05,341266,-24340.3,42315.4,910094,184416,89017.5,1.12651e+06
0.098,8.11609e-05,343588,-25199.4,40954.9,911043,187192,87959,1.13495e+06
0.1,8.38465e-05,350121,-26625.2,40120.1,922937,190440,88288.3,1.15104e+06
0.102,8.7412e-05,370227,-29877.5,40979.8,970104,195204,93090.9,1.19181e+06
0.104,9.0979e-05,390332,-33129.7,41839.4,1.01727e+06,199968,97893.5,1.23257e+06
0.106,9.45474e-05,410438,-36382,42699.1,1.06444e+06,204732,102696,1.27334e+06
0.108,9.81171e-05,430544,-39634.2,43558.8,1.11161e+06,209497,107499,1.31411e+06
0.11,0.000101688,450649,-42886.5,44418.5,1.15878e+06,214261,112301,1.35487e+06
0.112,0.00010526,470755,-46138.8,45278.1,1.20594e+06,219025,117104,1.39564e+06
0.114,0.000108832,490861,-49391,46137.8,1.25311e+06,223789,121906,1.43641e+06
0.116,0.00011256,484528,-49663.6,44981.7,1.23547e+06,225158,119831,1.42461e+06
0.118,0.000116454,450072,-46766.5,41681.3,1.14889e+06,222916,110439,1.35689e+06
0.12,0.000120347,415615,-43869.4,38380.9,1.0623e+06,220673,101047,1.28918e+06
0.122,0.000124241,381159,-40972.4,35080.4,975721,218431,91655.6,1.22146e+06
0.124,0.000128136,346703,-38075.3,31780,889138,216188,82263.8,1.15375e+06
0.126,0.00013203,312246,-35178.2,28479.6,802555,213946,72871.9,1.08603e+06
0.128,0.000135925,277790,-32281.1,25179.2,715972,211703,63480,1.01831e+06
0.13,0.000139821,243333,-29384,21878.8,629390,209461,54088.2,950596
0.132,0.000143986,230197,-29188.8,19620.3,595339,208013,50379.7,926366
0.134,0.000148321,229675,-30592.1,17978.4,592368,207036,50033.4,927864
0.136,0.000152667,229152,-31995.4,16336.4,589396,206059,49687.2,929362
0.138,0.000157024,228629,-33398.7,14694.4,586425,205082,49341,930860
0.14,0.00016139,228106,-34802,13052.4,583453,204105,48994.8,932358
0.142,0.000165765,227584,-36205.2,11410.5,580482,203128,48648.5,933856
0.144,0.000170148,227061,-37608.5,9768.48,577510,202151,48302.3,935354
0.146,0.000174538,226538,-39011.8,8126.5,574539,201174,47956.1,936852
0.148,0.000178935,226016,-40415.1,6484.53,571567,200196,47609.9,938350
0.15,0.000183339,225493,-41818.4,4842.55,568595,199219,47263.6,939848
0.152,0.000187749,224970,-43221.6,3200.58,565624,198242,46917.4,941346
0.154,0.000192164,224448,-44624.9,1558.6,562652,197265,46571.2,942844
0.156,0.000196584,223925,-46028.2,-83.377,559681,196288,46225,944342
0.158,0.000201009,223402,-47431.5,-1725.36,556709,195311,45878.7,945840
0.16,0.000205439,222879,-48834.8,-3367.32,553738,194334,45532.5,947338
0.162,0.000209873,222357,-50238.1,-5009.3,550766,193357,45186.3,948835
0.164,0.00021431,221834,-51641.3,-6651.28,547794,192379,44840,950333
0.166,0.000218752,221311,-53044.6,-8293.25,544823,191402,44493.8,951831
0.168,0.000223197,220789,-54447.9,-9935.23,541851,190425,44147.6,953329
0.17,0.000227645,220266,-55851.2,-11577.2,538880,189448,43801.4,954827
0.172,0.000232097,219743,-57254.5,-13219.2,535908,188471,43455.1,956325
0.174,0.000236459,221424,-58201.2,-11625.3,541658,187565,42862.1,954836
0.176,0.000240774,224309,-58898.4,-8263.22,552173,186699,42134.2,951715
0.178,0.000245586,224557,-58799.9,-9684.66,553609,185186,43572.8,940491
0.18,0.000250873,223371,-58107.4,-15201,549663,183063,47512.2,924749
0.182,0.000256456,232780,-58790.7,-18351.2,577129,180635,57664.3,940276
0.184,0.000262039,242189,-59474.1,-21501.5,604595,178208,67816.6,955804
0.186,0.000267624,251598,-60157.5,-24651.8,632061,175780,77968.8,971331
0.188,0.000273209,261007,-60840.8,-27802.1,659527,173352,88121,986858
0.19,0.000278794,270416,-61524.2,-30952.3,686993,170924,98273.2,1.00239e+06
0.192,0.000284381,279826,-62207.5,-34102.6,714459,168496,108425,1.01791e+06
0.194,0.000289968,289235,-62890.9,-37252.9,741925,166069,118578,1.03344e+06
0.196,0.000295555,298644,-63574.3,-40403.1,769391,163641,128730,1.04897e+06
0.198,0.000301339,302538,-62490,-40718.1,777163,161201,132403,1.04699e+06
0.2,0.000307197,304429,-60763.5,-40003,777781,158758,133721,1.03866e+06
0.202,0.000313058,306319,-59037.1,-39287.8,778399,156314,135040,1.03032e+06
0.204,0.000318922,308209,-57310.6,-38572.7,779017,153870,136358,1.02199e+06
0.206,0.000324789,310100,-55584.1,-37857.6,779634,151426,137677,1.01365e+06
0.208,0.000330658,311990,-53857.7,-37142.4,780252,148983,138996,1.00532e+06
0.21,0.00033653,313881,-52131.2,-36427.3,780870,146539,140314,996981
0.212,0.000342405,315771,-50404.7,-35712.1,781488,144095,141633,988645
0.214,0.000348282,317662,-48678.3,-34997,782105,141651,142951,980310
0.216,0.000354161,319552,-46951.8,-34281.8,782723,139208,144270,971975
0.218,0.000360042,321443,-45225.3,-33566.7,783341,136764,145589,963640
0.22,0.000365925,323333,-43498.8,-32851.6,783959,134320,146907,955304
0.222,0.00037181,325224,-41772.4,-32136.4,784576,131876,148226,946969
0.224,0.000377696,327114,-40045.9,-31421.3,785194,129433,149544,938634
0.226,0.000384,316044,-37433.5,-24721.5,767850,126959,144171,927676
0.228,0.000390313,304669,-34800.2,-17881.3,750084,124485,138640,916657
0.23,0.000396626,293294,-32167,-11041,732317,122011,133109,905637
0.232,0.00040294,281919,-29533.8,-4200.81,714551,119537,127578,894618
0.234,0.000409254,270545,-26900.6,2639.45,696785,117063,122047,883599
0.236,0.000415568,259170,-24267.3,9479.71,679019,114589,116516,872580
0.238,0.000421883,247795,-21634.1,16320,661253,112115,110985,861560
0.24,0.000428425,245386,-21353.8,21066.3,655605,111289,110275,873272
0.242,0.000435019,244915,-21582.1,25359.9,652577,110819,110607,889897
0.244,0.000441614,244444,-21810.4,29653.6,649548,110349,110939,906523
0.246,0.000448211,243973,-22038.8,33947.3,646519,109880,111271,923148
0.248,0.00045481,243502,-22267.1,38240.9,643491,109410,111602,939774
0.25,0.00046141,243031,-22495.5,42534.6,640462,108940,111934,956399
0.252,0.000468012,242560,-22723.8,46828.2,637434,108470,112266,973025
0.254,0.000474615,242089,-22952.1,51121.9,634405,108000,112598,989650
0.256,0.00048122,241618,-23180.5,55415.6,631377,107530,112930,1.00628e+06
0.258,0.000487826,241147,-23408.8,59709.2,628348,107060,113262,1.0229e+06
0.26,0.000494433,240676,-23637.2,64002.8,625320,106590,113594,1.03953e+06
0.262,0.0005014,235690,-21809.8,66255.1,621398,110185,113458,1.04738e+06
0.264,0.000508437,229820,-19579.6,68107.4,617302,114576,113231,1.05352e+06
0.266,0.000515475,223950,-17349.4,69959.7,613205,118968,113003,1.05965e+06
0.268,0.000522513,218080,-15119.2,71812,609108,123359,112776,1.06579e+06
0.27,0.00052955,212210,-12889.1,73664.2,605011,127750,112549,1.07193e+06
0.272,0.000536589,206340,-10658.9,75516.5,600915,132142,112321,1.07806e+06
0.274,0.000543701,201568,-8251.16,76879.9,596842,136048,112138,1.08246e+06
0.276,0.000551158,201884,-5020.2,75977.3,592882,137710,112157,1.07884e+06
0.278,0.000558616,202200,-1789.24,75074.6,588921,139372,112177,1.07521e+06
0.28,0.000566074,202516,1441.71,74171.9,584961,141034,112196,1.07158e+06
0.282,0.000573828,208529,4175.8,71507.5,593458,138613,110787,1.05479e+06
0.284,0.000581695,216746,6717.68,68161.6,606774,134613,108827,1.03291e+06
0.286,0.000589563,224962,9259.56,64815.7,620091,130613,106866,1.01102e+06
0.288,0.000597431,233179,11801.4,61469.9,633407,126613,104905,989140
0.29,0.000605299,241396,14343.3,58124,646723,122613,102944,967256
0.292,0.000613168,249613,16885.2,54778.1,660040,118613,100984,945371
0.294,0.000621116,253404,16656.1,51159.1,673112,118043,100502,929797
0.296,0.000629078,256476,15976,47495.6,686145,118032,100261,915250
0.298,0.000637042,259547,15295.9,43832.2,699177,118020,100019,900703
0.3,0.000645007,262618,14615.7,40168.8,712210,118008,99778.2,886156
0.302,0.000652973,265690,13935.6,36505.4,725243,117997,99537.1,871609
0.304,0.00066094,268761,13255.5,32841.9,738275,117985,99295.9,857062
0.306,0.000668909,271833,12575.3,29178.5,751308,117973,99054.7,842515
0.308,0.000676879,274904,11895.2,25515,764341,117962,98813.5,827968
0.31,0.000684849,277975,11215.1,21851.6,777374,117950,98572.4,813421
0.312,0.000692835,280986,10462.9,17980.8,789827,117948,98459.8,799160
0.314,0.000701201,282338,7724.05,8392.57,786298,118216,101894,792786
0.316,0.000709568,283689,4985.2,-1195.7,782768,118483,105329,786411
0.318,0.000717935,285040,2246.39,-10783.8,779239,118751,108763,780037
0.32,0.000726302,286391,-492.458,-20372.1,775710,119018,112197,773663
0.322,0.000734669,287742,-3231.31,-29960.4,772181,119286,115632,767289
0.324,0.000743036,289093,-5970.16,-39548.6,768652,119553,119066,760914
0.326,0.000751424,290004,-8500.85,-48064.4,763803,119643,122358,756719
0.328,0.000759992,287059,-9209.45,-47192.1,747400,118175,124408,771602
0.33,0.00076856,284114,-9918.06,-46319.8,730997,116706,126457,786484
0.332,0.000777129,281169,-10626.7,-45447.6,714595,115238,128506,801366
0.334,0.0007857,278225,-11335.3,-44575.3,698192,113770,130555,816249
0.336,0.000794271,275280,-12043.9,-43703,681789,112301,132605,831131
0.338,0.000802842,272335,-12752.5,-42830.7,665387,110833,134654,846013
0.34,0.000811415,269390,-13461.1,-41958.5,648984,109364,136703,860896
0.342,0.000819988,266445,-14169.7,-41086.2,632581,107896,138752,875778
0.344,0.000828563,263500,-14878.3,-40213.9,616179,106428,140801,890660
0.346,0.000837137,260556,-15586.9,-39341.6,599776,104959,142851,905543
0.348,0.000845872,255091,-15854.2,-37095.8,583088,103992,142170,909205
0.35,0.000854895,245093,-15327.5,-32378.3,565888,103928,136577,892677
0.352,0.000863917,235095,-14800.8,-27660.7,548688,103863,130984,876150
0.354,0.00087294,225097,-14274.2,-22943.2,531488,103798,125391,859622
0.356,0.000881963,215098,-13747.5,-18225.6,514288,103733,119798,843094
0.358,0.000890985,205100,-13220.8,-13508.1,497087,103668,114205,826566
0.36,0.000900008,195102,-12694.1,-8790.51,479887,103603,108612,810038
0.362,0.000909031,185103,-12167.4,-4073.03,462687,103538,103019,793511
0.364,0.000918216,184181,-12235,-2872.39,465413,101945,101351,786296
0.366,0.000927432,184927,-12411.9,-2318.71,471804,100070,100406,780794
0.368,0.000936649,185674,-12588.8,-1765.04,478195,98195.4,99460.3,775292
0.37,0.000945867,186421,-12765.8,-1211.36,484586,96320.6,98514.8,769791
0.372,0.000955086,187168,-12942.7,-657.68,490976,94445.9,97569.4,764289
0.374,0.000964305,187914,-13119.6,-104.002,497367,92571.1,96624,758787
0.376,0.000973525,188661,-13296.5,449.668,503758,90696.4,95678.5,753285
0.378,0.000982746,189408,-13473.4,1003.35,510149,88821.6,94733.1,747783
0.38,0.000991968,190155,-13650.4,1557.02,516540,86946.9,93787.7,742282
0.382,0.00100121,191588,-13927.2,2018.89,525594,85503,93417.8,734522
0.384,0.00101049,195282,-14533.1,2178.34,543419,85478.2,94943.6,719328
0.386,0.00101978,198975,-15138.9,2337.79,561244,85453.4,96469.4,704134
0.388,0.00102907,202669,-15744.8,2497.24,579068,85428.6,97995.2,688940
0.39,0.00103835,206363,-16350.7,2656.69,596893,85403.8,99521,673746
0.392,0.00104764,210057,-16956.6,2816.14,614718,85379,101047,658552
0.394,0.00105713,212050,-17281.6,3423.84,627615,85741.6,103081,645762
0.396,0.00106703,210546,-17029.4,4952.71,630385,86900.1,106158,637914
0.398,0.00107693,209043,-16777.3,6481.59,633156,88058.7,109236,630065
0.4,0.00108683,207539,-16525.1,8010.46,635926,89217.2,112314,622216
0.402,0.00109672,206036,-16272.9,9539.34,638696,90375.7,115392,614367
0.404,0.00110662,204533,-16020.8,11068.2,641467,91534.3,118470,606518
