"arc_length","Displacement_Magnitude","Sxx","Sxy","Sxz","Syy","Syz","Szz","Von_Mises_Stress"
0.136,0.00015204,228621,-32084.5,16420.2,586429,205312,49460.5,924301
0.138,0.000156375,228096,-33477.1,14791.6,583479,204346,49115.9,925786
0.14,0.000160719,227571,-34869.6,13163,580528,203379,48771.3,927270
0.142,0.000165072,227047,-36262.1,11534.3,577577,202412,48426.8,928755
0.144,0.000169433,226522,-37654.6,9905.75,574626,201446,48082.2,930240
0.146,0.000173801,225997,-39047.2,8277.14,571676,200479,47737.6,931725
0.148,0.000178176,225472,-40439.7,6648.54,568725,199513,47393,933209
0.15,0.000182558,224947,-41832.2,5019.93,565774,198546,47048.5,934694
0.152,0.000186945,224422,-43224.7,3391.34,562823,197580,46703.9,936179
0.154,0.000191338,223897,-44617.3,1762.73,559873,196613,46359.3,937664
0.156,0.000195736,223372,-46009.8,134.122,556922,195647,46014.7,939149
0.158,0.000200139,222848,-47402.3,-1494.48,553971,194680,45670.1,940633
0.16,0.000204546,222323,-48794.8,-3123.08,551021,193713,45325.6,942118
0.162,0.000208957,221798,-50187.4,-4751.69,548070,192747,44981,943603
0.164,0.000213373,221273,-51579.9,-6380.29,545119,191780,44636.4,945088
0.166,0.000217792,220748,-52972.4,-8008.89,542168,190814,44291.8,946572
0.168,0.000222215,220223,-54365,-9637.5,539218,189847,43947.3,948057
0.17,0.00022664,219698,-55757.5,-11266.1,536267,188881,43602.7,949542
0.172,0.000231069,219173,-57150,-12894.7,533316,187914,43258.1,951027
0.174,0.00023541,220847,-58090.1,-11309.3,539032,187021,42667.2,949557
0.176,0.000239703,223721,-58783,-7967.8,549484,186167,41941.7,946472
0.178,0.00024449,223967,-58684.6,-9377.25,550908,184667,43370.1,935329
0.18,0.000249749,222786,-57996.1,-14853.6,546975,182556,47285.7,919684
0.182,0.000255302,232168,-58682,-17977.1,574230,180144,57388.9,935050
0.184,0.000260856,241550,-59367.9,-21100.8,601485,177733,67492.2,950415
0.186,0.00026641,250932,-60053.8,-24224.4,628741,175321,77595.4,965781
0.188,0.000271966,260314,-60739.7,-27348,655996,172909,87698.6,981146
0.19,0.000277521,269696,-61425.6,-30471.6,683251,170498,97801.8,996511
0.192,0.000283078,279078,-62111.5,-33595.2,710506,168086,107905,1.01188e+06
0.194,0.000288635,288460,-62797.4,-36718.8,737761,165674,118008,1.02724e+06
0.196,0.000294193,297842,-63483.3,-39842.4,765016,163263,128112,1.04261e+06
0.198,0.000299946,301723,-62404.8,-40154.7,772730,160841,131766,1.04063e+06
0.2,0.000305773,303606,-60685.4,-39445.5,773344,158416,133077,1.03235e+06
0.202,0.000311603,305489,-58966,-38736.4,773957,155990,134388,1.02408e+06
0.204,0.000317436,307372,-57246.5,-38027.3,774571,153565,135700,1.0158e+06
0.206,0.000323271,309255,-55527.1,-37318.1,775184,151140,137011,1.00752e+06
0.208,0.00032911,311138,-53807.7,-36609,775798,148714,138322,999243
0.21,0.000334951,313021,-52088.3,-35899.8,776412,146289,139633,990966
0.212,0.000340794,314904,-50368.8,-35190.7,777025,143864,140945,982688
0.214,0.00034664,316787,-48649.4,-34481.6,777639,141438,142256,974411
0.216,0.000352488,318670,-46929.9,-33772.4,778253,139013,143567,966133
0.218,0.000358338,320553,-45210.5,-33063.3,778866,136587,144878,957856
0.22,0.00036419,322436,-43491.1,-32354.1,779480,134162,146190,949578
0.222,0.000370043,324319,-41771.7,-31645,780094,131737,147501,941300
0.224,0.000375899,326202,-40052.2,-30935.8,780707,129311,148812,933023
0.226,0.000382167,315179,-37454.1,-24297.9,763396,126855,143459,922072
0.228,0.000388446,303852,-34835.4,-17520.7,745664,124398,137949,911058
0.23,0.000394724,292525,-32216.6,-10743.5,727932,121941,132439,900043
0.232,0.000401003,281199,-29597.9,-3966.38,710200,119483,126929,889029
0.234,0.000407282,269872,-26979.2,2810.8,692468,117026,121419,878015
0.236,0.000413562,258545,-24360.4,9587.98,674736,114569,115909,867001
0.238,0.000419841,247218,-21741.7,16365.2,657004,112112,110399,855987
0.24,0.000426347,244814,-21462.2,21071.8,651382,111291,109696,867575
0.242,0.000432904,244339,-21688.5,25330.8,648378,110824,110033,884049
0.244,0.000439462,243864,-21914.8,29589.8,645373,110357,110370,900523
0.246,0.000446022,243388,-22141.1,33848.8,642369,109889,110706,916997
0.248,0.000452583,242913,-22367.4,38107.8,639365,109422,111043,933471
0.25,0.000459147,242438,-22593.7,42366.8,636360,108955,111379,949945
0.252,0.000465711,241962,-22820,46625.8,633356,108488,111716,966420
0.254,0.000472278,241487,-23046.3,50884.8,630351,108021,112053,982894
0.256,0.000478845,241012,-23272.6,55143.8,627347,107553,112389,999368
0.258,0.000485414,240536,-23498.9,59402.8,624343,107086,112726,1.01584e+06
0.26,0.000491984,240061,-23725.2,63661.8,621338,106619,113063,1.03232e+06
0.262,0.000498912,235087,-21923,65893.5,617424,110193,112936,1.04007e+06
0.264,0.00050591,229231,-19723.2,67728,613331,114559,112718,1.04612e+06
0.266,0.000512907,223375,-17523.4,69562.5,609238,118925,112501,1.05216e+06
0.268,0.000519906,217519,-15323.7,71397,605146,123291,112283,1.05821e+06
0.27,0.000526904,211664,-13123.9,73231.5,601053,127657,112065,1.06426e+06
0.272,0.000533902,205808,-10924.1,75066,596960,132023,111848,1.0703e+06
0.274,0.000540974,201049,-8549.17,76416.4,592886,135908,111672,1.07463e+06
0.276,0.000548388,201378,-5361.91,75522.5,588898,137565,111688,1.07097e+06
0.278,0.000555803,201707,-2174.66,74628.5,584910,139221,111704,1.06731e+06
0.28,0.000563218,202036,1012.59,73734.6,580921,140878,111720,1.06365e+06
0.282,0.000570926,208049,3714.23,71091.7,589324,138480,110309,1.04699e+06
0.284,0.000578747,216260,6228.01,67772.2,602519,134513,108345,1.0253e+06
0.286,0.000586569,224472,8741.78,64452.7,615715,130546,106382,1.00361e+06
0.288,0.000594391,232684,11255.5,61133.3,628911,126579,104419,981923
0.29,0.000602213,240896,13769.3,57813.8,642106,122612,102456,960234
0.292,0.000610035,249108,16283.1,54494.3,655302,118645,100492,938544
